Date,closing_price,avg_transaction_value tema90,MSCIACW_spot ema60,ISB_26,FUTBTC,sf_ratio ema90,highest_price,number_of_coins_in_circulation bband_lower90,IKS_26,ISA_9,opening_price,avg_price_usd,lowest_price,market_cap_usd,ITS_9,FUT500 ema3,SP500_spot bband_lower5,next_day_closing_price
2017-01-11,0.0,0.00022908520572468422,0.0,0.0,0.000494478325366754,0.0,0.0013394127709266956,0.0,0.0014045627152007578,0.0,0.0017829504984020889,0.0009296089543452402,0.0001844641544986314,0.0007897580043298297,0.001934963468822215,0.008166375828694061,0.008564634315059327,810.1
2017-01-12,0.00037007903509760076,0.00042581037760982404,0.0009502568413517487,0.0001677335234863686,0.000494478325366754,0.00330738222398827,2.640682352321455e-05,0.0005976741296080945,0.0013080538631057848,1.7297392496701258e-05,0.0,0.0,0.0,0.0,0.0018409351235501165,0.007385364597146282,0.008648792045288595,824.8
2017-01-13,0.0005903285013297566,0.00046700043516394174,0.0019706312993903463,0.0001677335234863686,0.000494478325366754,0.006542483529049403,0.00012616593461085845,0.0012093084139427335,0.0013080538631057848,1.7297392496701258e-05,0.00037007459924817687,0.00035804308403349083,0.00048021660055430626,0.00030604698360033045,0.0018409351235501165,0.008768448744199131,0.008770181266438415,819.6
2017-01-14,0.0005124171255197485,0.0003904953236401158,0.0028238697332833573,0.00018508526729532626,0.000494478325366754,0.009709209041736305,0.00018338071891110808,0.0018101403007971806,0.0013080538631057848,3.3808539879914834e-05,0.0005903214255213729,0.0006633495146939755,0.0010488540354963855,0.0005671020870291754,0.0008835556080525331,0.008671728700913706,0.00832000394077384,821.2
2017-01-15,0.0005363898565382136,0.00036803244865531506,0.003649133136556404,0.0002371404987221437,0.000494478325366754,0.012807932459272753,0.0,0.002435879763380222,0.0013080538631057848,0.00010221186475325994,0.0005124109835743795,0.0005219745441776558,0.0010534275269302312,0.0004481602642128629,0.00017406900281774496,0.008623368679270882,0.007938740401285282,827.3
2017-01-16,0.0006277858935461178,0.00037476724166743067,0.004447338723329142,0.0005106370320916154,0.000494478325366754,0.015840226199920565,0.00015110571238277637,0.0030378247980623607,0.0013080538631057848,0.00036245899731729425,0.0005363834272503754,0.0006675432843458867,0.0011921567670903632,0.0005734369025574837,0.00017406900281774496,0.008155791227742848,0.00778136736489235,899.7
2017-01-17,0.001712551972131715,0.00040788288999517655,0.005229500992995462,0.0008543668142115546,0.000494478325366754,0.01880741398981811,0.00117363660103105,0.0036445422322467502,0.0013080538631057848,0.0007080137246946727,0.0006277783687651112,0.0013760057782956359,0.0013034450586473928,0.0011780673181732287,3.1083750503146934e-05,0.007232273149768376,0.007535914564656576,872.0
2017-01-18,0.0012975240663745252,0.00037187507870371436,0.006063999253680674,0.001231147536919941,0.000494478325366754,0.02171051792870035,0.0012807309408751494,0.0042747432057456125,0.0013080538631057848,0.0010771558054766678,0.0017125314451038598,0.001523147182083337,0.0016220649618723104,0.0013047341615732844,3.1083750503146934e-05,0.007509509845292361,0.008140957195450077,895.2
2017-01-19,0.001645128666142276,0.00045344351555334783,0.006642258627795716,0.0012328000839493536,0.000494478325366754,0.02455184192013654,0.0011574990977668703,0.004880558407579616,0.0013080538631057848,0.001079907663373847,0.0012975085139631942,0.0016317358605707905,0.0020001402537372925,0.001398531587047891,3.1083750503146934e-05,0.006662800547039549,0.007451868735601441,892.9
2017-01-20,0.001610667865303228,0.0005329935591842083,0.007341316216773475,0.0013228638970528839,0.000494478325366754,0.027332558831708764,0.0011017513592179035,0.005482801700503637,0.0013080538631057848,0.0011148955709240072,0.0016451089472651198,0.0016631142442165014,0.0021251490195958733,0.0014267889330489836,0.0,0.007126240779326498,0.007415869209320136,919.8
