,Date,next_day_closing_price,opening_price,opening_price stdev60,highest_price,highest_price stdev60,lowest_price,lowest_price stdev60,closing_price,closing_price stdev60,avg_transaction_value tema90,avg_transaction_value bband_lower5,tweets_day stdev90,tweets_day wma5,avg_price_usd,avg_price_usd stdev60,market_cap_usd,market_cap_usd stdev60,sf_ratio ema90,sf_ratio rsi60,number_of_coins_in_circulation stdev90,number_of_coins_in_circulation stdev3,MSCIACW_spot ema60,MSCIACW_spot stdev15,SP500_spot bband_lower90,SP500_spot stdev90,FUTMSCIACWI_spot ema60,FUTMSCIACWI_spot stdev15,FUTBTC_spot tema5,FUTBTC_spot stdev60,ISA_9,ISB_26,ITS_9,IKS_26,ICS_26
0,2013-07-17,90.1,97.1,17.246443996037847,100.0,16.17920921227194,96.2,17.71922254100423,98.5,17.134276200176945,1506.489693893644,1297.0020242946816,0.0,8193.0,88.775,17.40121224100485,1014111029.0,189808559.1194776,7.044060410037238,94.40222100561196,110227.92596842832,5033.657550261043,363.4558942553663,6.139016518101661,132.27556355581416,2.767281865734361,192.1999969482422,0.0,99.16853139971946,17.134276200176945,108.9,109.55,88.35,87.7,106.8
1,2013-07-18,92.0,98.5,17.134276200176945,98.8,16.12007240874801,86.2,17.68646351098571,90.1,17.11722783340107,1536.7096315523154,1301.2538719043846,0.0,8193.0,86.483,17.464196351683903,988326452.0,190495077.4978297,7.047656590271019,94.45506744232162,110328.2527570304,6699.828977914583,363.7891436240428,6.071430991596302,132.4496471479935,2.747192648334126,192.1999969482422,0.0,93.1516485760222,17.11722783340107,108.2,107.5,89.85,87.7,109.6
2,2013-07-19,89.8,90.1,17.11722783340107,95.2,16.10675710047765,87.6,17.60605603306866,92.0,17.065114496198287,1549.8451740115115,1574.1920139580811,0.0,8193.0,83.838,17.554067321787645,958436879.0,191487215.38212648,7.051148105653508,94.05965747919883,110378.2657161934,2117.929413359672,364.1190077675168,6.02306218590182,132.62852944769523,2.72611449861151,192.1999969482422,0.0,91.781130649197,17.065114496198287,108.3,107.5,94.6,87.7,112.6
3,2013-07-20,92.0,92.0,17.065114496198287,93.1,16.119958065162603,89.3,17.46893481629102,89.8,17.01152616900863,1521.4136874788055,1156.2109240169252,0.0,8193.0,83.858,17.602705975980964,959018294.0,192042701.504582,7.054720807852062,94.2115093147706,110566.2192557084,6118.074315772131,364.438056693172,5.776139920479348,132.82170424000785,2.697850067276901,192.1999969482422,0.0,89.75814657472574,17.01152616900863,108.575,112.0,95.2,87.7,110.0
4,2013-07-21,91.6,89.8,17.01152616900863,92.0,16.111327383443587,88.0,17.309533639074893,92.0,16.893305931958075,1490.5668692900467,793.2863608543768,0.0,8193.0,83.889,17.61380970763186,959762900.0,192194884.6042823,7.058214296476606,94.2007687430982,110579.4483213905,6567.4068956712335,364.74664499831385,5.3040166271379325,132.99080429612184,2.6784325106329003,192.1999969482422,0.0,90.59379260267688,16.893305931958075,108.0,112.0,94.05,85.45,109.0
5,2013-07-22,95.6,92.0,16.893305931958075,92.0,16.037207003545795,89.8,17.088031956846216,91.6,16.70697704316671,1508.1117868490558,884.9147283673332,0.0,8193.0,84.1,17.56979847514889,962601055.0,191749803.26181945,7.061744252845517,94.3086523716312,110759.43525831496,4705.4711064152825,365.10118122787736,4.661495570349143,133.08262044416287,2.6918379771513563,192.1999969482422,0.0,90.85261366844443,16.70697704316671,108.275,112.0,94.05,84.80000000000001,112.8
6,2013-07-23,95.1,91.6,16.70697704316671,97.1,15.693756720428736,91.6,16.768965483590094,95.6,16.270462648685054,1547.7600554297733,841.0963665827813,0.0,8193.0,85.24,17.36117285185796,976001008.0,189505049.49646723,7.065249961541633,94.3589121062262,110927.61571248938,6140.762031971915,365.4591752859797,3.895410975323503,133.19050110464298,2.694985682004237,192.1999969482422,0.0,93.89369544434965,16.270462648685054,108.275,112.0,94.05,84.80000000000001,113.4
7,2013-07-24,96.9,95.6,16.270462648685054,96.0,15.344301929215202,92.3,16.336703935623962,95.1,15.836296986981605,1559.9112648733785,840.6372726880679,0.0,8193.0,86.425,17.023807333420546,989868221.0,185843486.444184,7.068666846703292,94.1721945289098,110884.36027963496,2022.5808595219064,365.7919892110296,3.184811873042291,133.294891067619,2.693923853595108,192.1999969482422,0.0,94.90428899082568,15.836296986981605,104.825,112.0,93.45,84.80000000000001,118.5
8,2013-07-25,96.0,95.1,15.836296986981605,97.5,14.861872120895644,93.6,15.781534210396142,96.9,15.302122281816969,1561.0373973510275,1060.0483704536828,0.0,8193.0,87.875,16.60317947785087,1006830914.0,181267265.2670248,7.072129502314175,94.2901379293072,111038.6521552781,4810.8168052115525,366.10307153197937,2.2398462957480376,133.409953575032,2.690763591108952,192.1999969482422,0.0,96.54738810576136,15.302122281816969,104.825,112.0,93.1,84.80000000000001,121.2
9,2013-07-26,94.4,96.9,15.302122281816969,97.5,14.352455645319012,96.0,15.396172666229976,96.0,14.857898943556757,1574.5754332839094,1536.528439352591,0.0,8193.0,89.193,16.14359970088895,1022257500.0,176270889.8694972,7.075573198945934,94.34516122269486,111190.5848722662,6560.789459608471,366.3918232850292,2.132194711024122,133.52956268194356,2.6861717987232003,192.1999969482422,0.0,96.5316339850439,14.857898943556757,103.45,112.0,92.5,84.80000000000001,123.3
10,2013-07-27,98.8,96.0,14.857898943556757,97.0,13.972458381413814,93.0,14.94875417593168,94.4,14.41461701245701,1537.8735922002948,1002.8354085660936,0.0,8193.0,88.506,15.7353787973844,1014742115.0,171843472.72067466,7.078920084217061,94.00458437064223,111092.84609217691,2085.7153049525077,366.6711077674873,2.01491533557341,133.65834923536352,2.676965575749041,192.1999969482422,0.0,95.28283612265064,14.41461701245701,101.325,111.0,92.55,84.80000000000001,122.0
