Date,avg_transaction_value tema90,ISA_9,closing_price,sf_ratio ema90,ITS_9,ISB_26,SP500_spot bband_lower90,FUTMSCIACWI_spot ema60,MSCIACW_spot ema60,IKS_26,lowest_price,avg_price_usd,highest_price,FUTBTC_spot tema5,market_cap_usd,opening_price,tweets_day stdev90,next_day_closing_price
2013-07-17,0.00012041164322644515,0.0003835023959176051,0.00012900719326316284,0.0,0.0,0.00034344618811529143,0.0,0.09378202979720937,0.0,4.5693181316835974e-05,0.0001509463581926898,7.318067896076169e-05,0.00011611266411799825,0.0001400153073379956,4.3715564754326364e-05,0.00010824613094222169,0.0,90.1
2013-07-18,0.00014826727334096498,0.0003726118613479393,4.44852390563133e-06,7.152088709633242e-05,2.3048360838995308e-05,0.0003099192983230803,0.000550153580450019,0.09378202979720937,0.0008862097130988844,4.5693181316835974e-05,0.0,3.920658210476713e-05,9.869576450029921e-05,5.049126411935806e-05,2.3469411997496803e-05,0.00012900566290374726,0.0,92.0
2013-07-19,0.00016037513458904903,0.0003741676520007467,3.2622508641264036e-05,0.0001409601980409403,9.603483682913555e-05,0.0003099192983230803,0.0011154672637138097,0.09378202979720937,0.0017631001085943732,4.5693181316835974e-05,2.1132490146978655e-05,0.0,4.644506564719514e-05,3.009959127012879e-05,0.0,4.448471134607668e-06,0.0,89.8
2013-07-20,0.00013416803312489914,0.000378446076295981,0.0,0.00021201415361632447,0.00010525418116472812,0.0003835149100620758,0.0017259486648062428,0.09378202979720937,0.0024820072676805527,4.5693181316835974e-05,4.67933710397439e-05,2.964580877520828e-07,1.5965491316223546e-05,0.0,4.5652937820384043e-07,3.2622121653821945e-05,0.0,92.0
2013-07-21,0.00010573456753072696,0.0003695002800423175,3.2622508641264036e-05,0.0002814927084288654,8.758377118817107e-05,0.0003835149100620758,0.002260348043494842,0.09378202979720937,0.0031773437002394767,1.024157512273527e-05,2.717034447468486e-05,7.559681237598315e-07,0.0,1.2433416656729146e-05,1.0411969808415966e-06,0.0,0.0,91.6
2013-07-22,0.00012190682901695032,0.0003737787043375518,2.6691143433760223e-05,0.0003516965342951206,8.758377118817107e-05,0.0003835149100620758,0.0025505132394375574,0.09378202979720937,0.00412585330924109,0.0,5.434068894936972e-05,3.883600949501631e-06,0.0,1.6284365554460056e-05,3.2697276128382247e-06,3.2622121653821945e-05,0.0,95.6
2013-07-23,0.00015845314875923,0.0003737787043375518,8.600479550877754e-05,0.0004214181220766333,8.758377118817107e-05,0.0003835149100620758,0.0028914458198006643,0.09378202979720937,0.0050827377196648316,0.0,8.151103342404764e-05,2.0781711951176063e-05,7.402182337521573e-05,6.153203686779657e-05,1.3791424182549306e-05,2.6690826807666823e-05,0.0,95.1
2013-07-24,0.00016965368793731353,0.00032010392681560557,7.85905889993943e-05,0.0004893731860561856,7.836442685257156e-05,0.0003835149100620758,0.0032213441617386374,0.09378202979720937,0.005973065988943427,0.0,9.207727849754738e-05,3.8346853650297885e-05,5.805633205899913e-05,7.656846403152062e-05,2.4680015168913882e-05,8.600377526916253e-05,0.0,96.9
2013-07-25,0.00017069171555046322,0.00032010392681560557,0.00010528173243315453,0.0005582385334248485,7.298647599014718e-05,0.0003835149100620758,0.0035849749443738754,0.09378202979720937,0.006805885238182097,0.0,0.00011170030506259254,5.984006501207062e-05,7.982745658111773e-05,0.0001010158199944225,3.799918940415592e-05,7.858965671147383e-05,0.0,96.0
2013-07-26,0.000183170580519771,0.0002987118053394758,9.193616071627442e-05,0.0006267268243287938,6.376713165454767e-05,0.0003835149100620758,0.003962975714398187,0.09378202979720937,0.007579648532750283,0.0,0.0001479274310288367,7.937665299471985e-05,7.982745658111773e-05,0.00010078141745986646,5.011220629298069e-05,0.0001052804835191476,0.0,94.4
2013-07-27,0.00014934016957404705,0.0002656512539672695,6.821069988627304e-05,0.0006932897294225082,6.45354103491827e-05,0.00036716032967563234,0.004369979651342115,0.09378202979720937,0.008376612078219714,0.0,0.00010264352357103323,6.919331768054371e-05,7.257041507374717e-05,8.22007940573452e-05,4.421109599994644e-05,9.193507011531765e-05,0.0,98.8
2013-07-28,0.00013815681907659513,0.00024931545211276385,0.00013345571716878724,0.0007611723373550094,9.142516466133926e-05,0.00036716032967563234,0.004658695369331611,0.09378202979720937,0.009147445671378707,0.0,0.00011773815939030569,6.692541330927115e-05,0.0001248211139268443,0.00011916463331864552,4.3146594164662766e-05,6.820989073071798e-05,0.0,101.5
2013-07-29,0.00013764422772623297,0.00015557906528097798,0.00017349243231942063,0.000827872965562193,0.00010832729594326129,0.0002853874277434221,0.004957258120728947,0.09378202979720937,0.009677961393537937,0.0,0.00018415455699508781,0.00010973396118017786,0.0001567520965592914,0.00016274543483536102,6.945722675680971e-05,0.0001334541340383688,0.0,108.0
2013-07-30,0.00017213015264034778,0.00010696060738066976,0.0002698771169413125,0.0008954425703479041,0.00016210680456757443,0.0002526782669705352,0.005471611878439642,0.09378202979720937,0.010217684848700781,2.9936911897232577e-05,0.00021585329221555233,0.00013654859521704948,0.00023222532823598957,0.0002476332298971956,8.608493731213779e-05,0.00017349037424987251,0.0,106.2
2013-07-31,0.00017261168524309797,4.9785300889913786e-05,0.00024318597350755922,0.0009628013501828958,0.0002043621327723899,0.00019870815169528017,0.005797766346565314,0.09378202979720937,0.010671921046504051,6.85397719752609e-05,0.00026264666325528235,0.00018027616315997863,0.00028592743539055526,0.000261803356324794,0.00011304433370867839,0.00026987391549979783,0.0,104.0
