Date,Social Volume,Social Volume AI,Positive sentiment (Total),Negative sentiment (Total),Weighted sentiment (Total)
2010-08-03T00:00:00.000Z,55,145,3.498633861541748,3.3269830346107483,
2010-08-04T00:00:00.000Z,50,105,6.408723294734955,2.499811053276062,
2010-08-05T00:00:00.000Z,42,146,5.053980588912964,2.420781970024109,
2010-08-06T00:00:00.000Z,67,271,1.587117075920105,0,
2010-08-07T00:00:00.000Z,36,177,3.1134419441223145,2.3941234350204468,
2010-08-08T00:00:00.000Z,22,132,3.498328447341919,0,
2010-08-09T00:00:00.000Z,31,141,1.5816141366958618,2.341212213039398,
2010-08-10T00:00:00.000Z,53,164,4.1415515542030334,2.601702034473419,
2010-08-11T00:00:00.000Z,40,160,0.8744910955429077,2.290614426136017,
2010-08-12T00:00:00.000Z,29,94,3.2775840163230896,3.3732151985168457,
2010-08-13T00:00:00.000Z,64,159,10.06607472896576,4.869151473045349,
2010-08-14T00:00:00.000Z,51,180,0.7597840428352356,1.618896484375,
2010-08-15T00:00:00.000Z,77,274,8.09511685371399,0.7092851400375366,
2010-08-16T00:00:00.000Z,64,158,5.413746774196625,6.777023136615753,
2010-08-17T00:00:00.000Z,42,154,4.090370416641235,1.6566720604896545,
2010-08-18T00:00:00.000Z,35,101,3.852726936340332,0.8102852702140808,
2010-08-19T00:00:00.000Z,43,104,8.40018230676651,2.4079997539520264,
2010-08-20T00:00:00.000Z,50,203,6.69684624671936,5.563081800937653,
2010-08-21T00:00:00.000Z,28,133,0.8033405542373657,0,
2010-08-22T00:00:00.000Z,25,92,5.076435089111328,1.4209798574447632,
2010-08-23T00:00:00.000Z,64,173,4.726023375988007,6.482068479061127,
2010-08-24T00:00:00.000Z,32,164,4.296397924423218,0.7622022032737732,
2010-08-25T00:00:00.000Z,26,73,2.4457931518554688,0.9561980962753296,
2010-08-26T00:00:00.000Z,19,71,2.337948501110077,0,
2010-08-27T00:00:00.000Z,24,73,3.4649482369422913,0.8851264119148254,
2010-08-28T00:00:00.000Z,13,75,2.5166090726852417,0.8072073459625244,
2010-08-29T00:00:00.000Z,11,31,0.7353395223617554,1.5789082050323486,
2010-08-30T00:00:00.000Z,21,66,3.308220148086548,0.9431499242782593,
2010-08-31T00:00:00.000Z,17,56,0.9130658507347107,1.6026594042778015,
2010-09-01T00:00:00.000Z,24,63,2.4383040070533752,2.337479591369629,
2010-09-02T00:00:00.000Z,21,62,3.5618664622306824,0.7411345839500427,
2010-09-03T00:00:00.000Z,11,25,3.351801574230194,0.9330006837844849,
2010-09-04T00:00:00.000Z,4,19,0.8753083348274231,0.7884606719017029,
2010-09-05T00:00:00.000Z,10,13,0.9479248523712158,0.7198709845542908,
2010-09-06T00:00:00.000Z,15,58,1.6450080275535583,0.7046163082122803,
2010-09-07T00:00:00.000Z,6,8,0,0.8687101006507874,
2010-09-08T00:00:00.000Z,17,33,3.4645435214042664,0.9190385341644287,
2010-09-09T00:00:00.000Z,21,52,2.5096846222877502,1.82790607213974,
2010-09-10T00:00:00.000Z,5,9,0,0,
2010-09-11T00:00:00.000Z,10,54,1.7355895042419434,0,
2010-09-12T00:00:00.000Z,22,52,0.794090986251831,2.6737780570983887,
2010-09-13T00:00:00.000Z,30,114,2.3956960439682007,1.617443859577179,
2010-09-14T00:00:00.000Z,46,99,3.3494338393211365,2.345909893512726,
2010-09-15T00:00:00.000Z,28,79,3.19692325592041,1.5192536115646362,
2010-09-16T00:00:00.000Z,21,60,1.5712727308273315,0,
2010-09-17T00:00:00.000Z,20,128,1.5389808416366577,0,
2010-09-18T00:00:00.000Z,19,54,0.851952075958252,1.5135167241096497,
2010-09-19T00:00:00.000Z,27,90,3.2921274304389954,1.453775942325592,
2010-09-20T00:00:00.000Z,35,176,2.3605740666389465,1.544406533241272,
2010-09-21T00:00:00.000Z,46,174,3.3612250089645386,5.117866933345795,
2010-09-22T00:00:00.000Z,14,40,0.7066555619239807,0,
2010-09-23T00:00:00.000Z,43,108,5.7607216238975525,3.1096728444099426,
2010-09-24T00:00:00.000Z,26,67,4.90634959936142,1.4908629655838013,
2010-09-25T00:00:00.000Z,19,36,3.190780520439148,1.6909487843513489,
2010-09-26T00:00:00.000Z,16,38,0.7104038000106812,0,
2010-09-27T00:00:00.000Z,38,97,3.6192654967308044,3.14648973941803,
2010-09-28T00:00:00.000Z,34,81,3.158261775970459,2.3405109643936157,
2010-09-29T00:00:00.000Z,46,102,4.050012290477753,4.878324747085571,
2010-09-30T00:00:00.000Z,26,57,3.15526282787323,1.6360438466072083,
2010-10-01T00:00:00.000Z,37,89,3.1052602529525757,1.6310727000236511,
2010-10-02T00:00:00.000Z,34,71,8.685846030712128,4.363265335559845,
2010-10-03T00:00:00.000Z,28,54,1.6591838002204895,2.4315064549446106,
2010-10-04T00:00:00.000Z,60,241,11.015175700187683,3.3380439281463623,
2010-10-05T00:00:00.000Z,40,93,3.190415322780609,2.3047927618026733,
2010-10-06T00:00:00.000Z,38,86,3.103060007095337,1.5856232047080994,
2010-10-07T00:00:00.000Z,50,110,6.144652545452118,5.634633779525757,
2010-10-08T00:00:00.000Z,32,79,3.147139608860016,3.954671084880829,
2010-10-09T00:00:00.000Z,50,120,5.6248659491539,4.298102796077728,
2010-10-10T00:00:00.000Z,39,89,4.045144855976105,2.222744941711426,
2010-10-11T00:00:00.000Z,48,119,6.964428663253784,3.1700572967529297,
2010-10-12T00:00:00.000Z,29,71,2.309297025203705,1.4444761276245117,
2010-10-13T00:00:00.000Z,28,90,4.25758969783783,1.6850709915161133,
2010-10-14T00:00:00.000Z,24,69,3.529809892177582,0.8267564177513123,
2010-10-15T00:00:00.000Z,40,113,8.446803331375122,1.5353437066078186,
2010-10-16T00:00:00.000Z,19,52,3.024825632572174,0.7148751020431519,
2010-10-17T00:00:00.000Z,34,99,4.971455514431,1.5582610964775085,
2010-10-18T00:00:00.000Z,28,96,3.8223904967308044,0,
2010-10-19T00:00:00.000Z,25,79,6.864596664905548,0,
2010-10-20T00:00:00.000Z,43,132,4.338487982749939,4.252059817314148,
2010-10-21T00:00:00.000Z,35,67,3.838990092277527,4.579560935497284,
2010-10-22T00:00:00.000Z,45,119,6.338544309139252,3.3701194524765015,
2010-10-23T00:00:00.000Z,37,125,3.124349296092987,1.5878912210464478,
2010-10-24T00:00:00.000Z,35,65,3.2808387875556946,2.7354966402053833,
2010-10-25T00:00:00.000Z,43,151,2.494074761867523,3.3453786969184875,
2010-10-26T00:00:00.000Z,49,172,6.742947638034821,4.215423882007599,
2010-10-27T00:00:00.000Z,51,102,7.707089602947235,3.2568323016166687,
2010-10-28T00:00:00.000Z,26,72,1.5166961550712585,2.296110212802887,
2010-10-29T00:00:00.000Z,37,97,3.055738091468811,2.3655495047569275,
2010-10-30T00:00:00.000Z,14,28,3.2203792929649353,2.557791233062744,
2010-10-31T00:00:00.000Z,13,43,2.56397408246994,1.614059031009674,
2010-11-01T00:00:00.000Z,35,106,7.758254587650299,3.4711241722106934,
2010-11-02T00:00:00.000Z,35,86,4.8035582304000854,1.928062081336975,
2010-11-03T00:00:00.000Z,43,94,3.224919855594635,3.1808319091796875,
2010-11-04T00:00:00.000Z,25,102,3.145181655883789,1.5242393612861633,
2010-11-05T00:00:00.000Z,31,56,3.089560031890869,4.782510221004486,
2010-11-06T00:00:00.000Z,28,61,2.5051113963127136,4.929142892360687,
2010-11-07T00:00:00.000Z,27,71,1.6074504256248474,8.199702322483063,
2010-11-08T00:00:00.000Z,63,204,6.281479835510254,4.020875990390778,
2010-11-09T00:00:00.000Z,82,166,9.17471593618393,2.417203903198242,
2010-11-10T00:00:00.000Z,70,240,7.062211453914642,3.3206979036331177,
2010-11-11T00:00:00.000Z,48,140,10.303450167179108,0,
2010-11-12T00:00:00.000Z,27,84,1.5341553688049316,2.692971169948578,
2010-11-13T00:00:00.000Z,41,175,4.2860095500946045,3.4178026914596558,
2010-11-14T00:00:00.000Z,35,146,6.237650513648987,1.5203521847724915,
2010-11-15T00:00:00.000Z,57,255,5.722502887248993,0.7936940789222717,
2010-11-16T00:00:00.000Z,46,192,4.724166929721832,4.02741140127182,
2010-11-17T00:00:00.000Z,29,92,2.4260072112083435,1.6534032821655273,
2010-11-18T00:00:00.000Z,68,184,11.544849514961243,3.247438967227936,
2010-11-19T00:00:00.000Z,69,197,7.849408984184265,3.988755464553833,
2010-11-20T00:00:00.000Z,65,213,7.015618979930878,4.9977312088012695,
2010-11-21T00:00:00.000Z,72,164,9.956778228282928,3.4641692638397217,
2010-11-22T00:00:00.000Z,66,174,8.149407267570496,3.367169201374054,
2010-11-23T00:00:00.000Z,64,143,13.371207118034363,0.7622037529945374,
2010-11-24T00:00:00.000Z,64,177,13.08363389968872,2.38924241065979,
2010-11-25T00:00:00.000Z,70,203,5.646159052848816,5.044972717761993,
2010-11-26T00:00:00.000Z,49,115,5.516841530799866,1.612197458744049,
2010-11-27T00:00:00.000Z,41,77,3.901571035385132,2.3756744861602783,
2010-11-28T00:00:00.000Z,53,94,7.271040499210358,3.7681819200515747,
2010-11-29T00:00:00.000Z,51,103,3.2733340859413147,3.0472821593284607,
2010-11-30T00:00:00.000Z,67,165,12.161306917667389,4.09972757101059,
2010-12-01T00:00:00.000Z,47,109,6.225345492362976,3.946057379245758,
2010-12-02T00:00:00.000Z,40,95,6.637960612773895,2.6186859011650085,
2010-12-03T00:00:00.000Z,78,202,7.475191831588745,4.244610667228699,
2010-12-04T00:00:00.000Z,70,252,9.56324028968811,3.269430100917816,
2010-12-05T00:00:00.000Z,90,213,9.266577184200287,7.386190593242645,
2010-12-06T00:00:00.000Z,73,169,11.573241293430328,5.821758329868317,
2010-12-07T00:00:00.000Z,121,281,14.29040914773941,6.384632349014282,
2010-12-08T00:00:00.000Z,110,262,6.330598294734955,5.827265202999115,
2010-12-09T00:00:00.000Z,137,348,12.635001718997955,8.227730572223663,
2010-12-10T00:00:00.000Z,78,227,8.146744191646576,3.2396978735923767,
