Date,avg_transaction_value dema60,closing_price,FUT500 dema90,ISB_26,sf_ratio ema90,FUTMSCIACWI_spot ema60,IKS_26,SP500_spot bband_lower90,lowest_price,highest_price,market_cap_usd,MSCIACW_spot dema90,FUTBTC_spot tema3,ITS_9,avg_price_usd,ISA_9,opening_price,tweets_day stdev90,next_day_closing_price
2013-07-18,0.0001765101039399794,4.448523905624391e-06,0.0,0.00030991929832307336,0.0,0.09378202979720937,4.569318131684291e-05,0.0,0.0,9.869576450029227e-05,2.3469411997496803e-05,0.0005808033971608229,2.203675719567033e-05,0.0,3.920658210476713e-05,0.00037261186134793234,0.00012900566290374726,0.0,92.0
2013-07-19,0.0001876409148875019,3.26225086412571e-05,0.0007695554756760314,0.00030991929832307336,5.197788780009205e-05,0.09378202979720937,4.569318131684291e-05,0.0005656200706656289,2.1132490146971716e-05,4.64450656471882e-05,0.0,0.001670739284157119,2.3353533939292348e-05,7.298815824755e-05,0.0,0.0003741676520007467,4.448471134600729e-06,0.0,89.8
2013-07-20,0.00015981042434868795,0.0,0.0015111566557405864,0.00038351491006206884,0.00010595691655673756,0.09378202979720937,4.569318131684291e-05,0.001176432334979105,4.6793371039736964e-05,1.5965491316216607e-05,4.5652937820384043e-07,0.0027240238145093687,0.0,8.220771507880947e-05,2.964580877520828e-07,0.00037844607629596017,3.2622121653815006e-05,0.0,92.0
2013-07-21,0.0001298653474916915,3.26225086412571e-05,0.0022256605794040984,0.00038351491006206884,0.000158735805699195,0.09378202979720937,1.0241575122742208e-05,0.0017111299494239063,2.717034447468486e-05,0.0,1.0411969808415966e-06,0.003741741561369416,2.622085720642431e-05,6.453689781888566e-05,7.559681237598315e-07,0.0003695002800423175,0.0,0.0,91.6
2013-07-22,0.00014535365842725106,2.6691143433760223e-05,0.0029244593105313688,0.00038351491006206884,0.00021260894834007615,0.09378202979720937,0.0,0.002001460050954418,5.434068894937666e-05,0.0,3.2697276128382247e-06,0.004916691386524896,2.9320983173611315e-05,6.453689781888566e-05,3.88360094950857e-06,0.0003737787043375379,3.2622121653815006e-05,0.0,95.6
2013-07-23,0.00018142808819479952,8.600479550876367e-05,0.0035692983382263344,0.00038351491006206884,0.0002663596905740917,0.09378202979720937,0.0,0.002342571899552559,8.151103342405458e-05,7.402182337521573e-05,1.3791424182549306e-05,0.006103436958333985,8.191362043239586e-05,6.453689781888566e-05,2.0781711951183002e-05,0.0003737787043375379,2.6690826807659884e-05,0.0,95.1
2013-07-24,0.00019157072693497604,7.859058899938737e-05,0.004126701796591803,0.00038351491006206884,0.00031869471313850095,0.09378202979720937,0.0,0.0026726533289000987,9.207727849754738e-05,5.805633205899219e-05,2.4680015168913882e-05,0.007203911260759366,8.661214616149243e-05,5.531734098761232e-05,3.8346853650297885e-05,0.00032010392681559863,8.600377526915559e-05,0.0,96.9
2013-07-25,0.0001913436242345079,0.00010528173243315453,0.004666372476652969,0.00038351491006206884,0.000372285405183026,0.09378202979720937,0.0,0.003036478519167052,0.0001117003050625856,7.982745658111079e-05,3.799918940416286e-05,0.008229792871659314,0.00010832925355164225,4.993926616937705e-05,5.984006501207062e-05,0.00032010392681559863,7.858965671146689e-05,0.0,96.0
2013-07-26,0.0002027366885687977,9.193616071626748e-05,0.005220537286347193,0.00038351491006206884,0.0004258357348623787,0.09378202979720937,0.0,0.0034146813748268112,0.00014792743102882977,7.982745658111079e-05,5.011220629298763e-05,0.0091789326314205,9.964476515639253e-05,4.0719709338103705e-05,7.937665299471292e-05,0.00029871180533946884,0.0001052804835191476,0.0,94.4
2013-07-27,0.00016706103572095357,6.82106998862661e-05,0.00575349221051058,0.0003671603296756254,0.0004777886205367121,0.09378202979720937,0.0,0.003821903120255876,0.0001026435235710263,7.257041507374024e-05,4.421109599994644e-05,0.010095235813230574,7.516392482598278e-05,4.148800574071965e-05,6.919331768054371e-05,0.00026565125396725564,9.193507011531071e-05,0.0,98.8
