"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"24.01.2022","707,22","712,50","712,53","687,48","-","-0,78%"
"21.01.2022","712,80","724,66","724,67","712,30","-","-1,74%"
"20.01.2022","725,44","727,80","737,82","724,06","-","-0,32%"
"19.01.2022","727,75","733,02","736,43","727,65","-","-0,74%"
"18.01.2022","733,18","744,95","745,80","732,10","-","-1,57%"
"17.01.2022","744,84","744,01","745,06","743,65","-","0,06%"
"14.01.2022","744,41","746,48","746,48","738,82","-","-0,30%"
"13.01.2022","746,67","753,96","756,11","745,58","-","-0,92%"
"12.01.2022","753,61","748,26","756,10","748,24","-","0,80%"
"11.01.2022","747,63","741,35","748,25","739,23","-","0,86%"
"10.01.2022","741,24","743,53","744,12","731,54","-","-0,26%"
"07.01.2022","743,18","744,04","746,58","740,94","-","-0,11%"
"06.01.2022","744,03","747,50","747,51","740,68","-","-0,56%"
"05.01.2022","748,24","758,12","758,54","747,43","-","-1,34%"
"04.01.2022","758,43","757,06","761,21","755,74","-","0,20%"
"03.01.2022","756,94","754,58","757,42","753,21","-","0,28%"
"31.12.2021","754,83","755,37","756,75","754,74","-","-0,06%"
"30.12.2021","755,30","756,39","758,22","755,01","-","-0,15%"
"29.12.2021","756,40","756,19","757,28","754,61","-","0,04%"
"28.12.2021","756,06","755,90","758,59","755,59","-","0,09%"
"27.12.2021","755,36","748,75","755,52","748,39","-","0,87%"
"24.12.2021","748,88","749,00","749,28","748,58","-","0,03%"
"23.12.2021","748,66","743,66","750,47","743,65","-","0,72%"
"22.12.2021","743,33","736,99","743,86","736,63","-","0,94%"
"21.12.2021","736,41","725,15","736,88","725,02","-","1,61%"
"20.12.2021","724,73","733,92","733,95","721,09","-","-1,35%"
"17.12.2021","734,67","741,06","741,18","731,47","-","-0,84%"
"16.12.2021","740,91","742,56","748,13","739,13","-","-0,13%"
"15.12.2021","741,88","734,47","742,69","731,58","-","0,97%"
"14.12.2021","734,72","740,18","740,38","731,84","-","-0,75%"
"13.12.2021","740,27","746,43","747,48","740,17","-","-0,80%"
"10.12.2021","746,26","743,68","746,84","741,85","-","0,36%"
