Feature Name,Feature Importance
avg_transaction_value dema60,0.17650351877567427
closing_price,0.1139282376568833
FUT500 dema90,0.10151253026002485
ISB_26,0.08958632256679896
sf_ratio ema90,0.05785366827809367
FUTMSCIACWI_spot ema60,0.056750366627554415
IKS_26,0.05521507781121641
SP500_spot bband_lower90,0.050354033157694295
lowest_price,0.0403384945794823
highest_price,0.04016250002915573
market_cap_usd,0.03725228069339486
MSCIACW_spot dema90,0.03616133800165759
FUTBTC_spot tema3,0.032003558066687046
ITS_9,0.031538982091678436
avg_price_usd,0.029332120547096836
ISA_9,0.02650340458664413
opening_price,0.020781066632367316
tweets_day stdev90,0.0008915686284917174
