"DateTime","Price","Out","At","In"
"2017-12-24 00:00:00",13290.09,3818040,886873,21501771
"2017-12-25 00:00:00",13739.07,3199855,1314032,21653812
"2017-12-26 00:00:00",14921.58,2393858,1434539,22326989
"2017-12-27 00:00:00",15524.63,1454575,2123030,22638856
"2017-12-28 00:00:00",14485.79,2731671,1609130,21932962
"2017-12-29 00:00:00",14530.45,2398328,2104132,21869249
"2017-12-30 00:00:00",13211.78,4116429,1148232,21243613
"2017-12-31 00:00:00",13300.63,3926988,1365042,21197086
"2018-01-01 00:00:00",13399.6,3756951,1490642,21152326
"2018-01-02 00:00:00",14120.15,2556012,2624748,21293494
"2018-01-03 00:00:00",15007.36,1927687,2463702,22307449
"2018-01-04 00:00:00",14826.67,1913777,2864352,22201646
"2018-01-05 00:00:00",15979.66,851815,2591337,23765895
"2018-01-06 00:00:00",16769.71,654286,1994416,24670691
"2018-01-07 00:00:00",16487.97,655153,2671911,24167053
"2018-01-08 00:00:00",15102.62,2461906,3157747,22009698
"2018-01-09 00:00:00",14805.92,2698158,3190011,21928011
"2018-01-10 00:00:00",14185.02,3532672,2974299,21449919
"2018-01-11 00:00:00",13902.96,4364997,2573972,20990210
"2018-01-12 00:00:00",13490.5,5019368,2060740,20798608
"2018-01-13 00:00:00",14212.66,3218839,3346094,21310745
"2018-01-14 00:00:00",13723.79,4138642,2781567,20867655
"2018-01-15 00:00:00",13886.27,3993631,2973289,20831403
"2018-01-16 00:00:00",11840.77,6890482,715369,20231391
"2018-01-17 00:00:00",10470.84,7317231,893676,19639849
"2018-01-18 00:00:00",11330.38,6530583,1027085,20296176
"2018-01-19 00:00:00",11323.84,6231434,1202282,20244602
"2018-01-20 00:00:00",12266.58,5805103,816420,20924737
"2018-01-21 00:00:00",11944.54,5774890,1363900,20196143
"2018-01-22 00:00:00",10990.75,6292851,1079679,19837322
"2018-01-23 00:00:00",10684.51,6117141,1409121,19579188
"2018-01-24 00:00:00",11019.08,5774334,1484815,19750119
"2018-01-25 00:00:00",11336.13,5352726,1738464,19860592
"2018-01-26 00:00:00",11001.7,5597718,1623812,19666985
"2018-01-27 00:00:00",11258.95,5217003,1895321,19757854
"2018-01-28 00:00:00",11736.07,4840317,1637786,20357176
