"DateTime","Number of Large Transactions","Price"
"2014-05-26 00:00:00",710,575.53
"2014-05-27 00:00:00",1028,570.75
"2014-05-28 00:00:00",1016,572.18
"2014-05-29 00:00:00",795,565.77
"2014-05-30 00:00:00",936,588.64
"2014-05-31 00:00:00",790,616.89
"2014-06-01 00:00:00",977,648.47
"2014-06-02 00:00:00",963,644.05
"2014-06-03 00:00:00",1046,653.94
"2014-06-04 00:00:00",1045,635.94
"2014-06-05 00:00:00",1046,650.49
"2014-06-06 00:00:00",756,655.48
"2014-06-07 00:00:00",684,650.4
"2014-06-08 00:00:00",643,653.78
"2014-06-09 00:00:00",344,645.6
"2014-06-10 00:00:00",685,651.56
"2014-06-11 00:00:00",737,652.66
"2014-06-12 00:00:00",823,617.46
"2014-06-13 00:00:00",802,607.01
"2014-06-14 00:00:00",699,588.72
"2014-06-15 00:00:00",544,574.34
"2014-06-16 00:00:00",719,593.3
"2014-06-17 00:00:00",765,601.65
"2014-06-18 00:00:00",649,609.01
"2014-06-19 00:00:00",887,605.63
"2014-06-20 00:00:00",754,594.58
"2014-06-21 00:00:00",604,592.02
"2014-06-22 00:00:00",721,601.04
"2014-06-23 00:00:00",686,593.76
"2014-06-24 00:00:00",689,590.53
"2014-06-25 00:00:00",581,578.22
"2014-06-26 00:00:00",511,574.28
"2014-06-27 00:00:00",532,592.04
"2014-06-28 00:00:00",466,601.37
"2014-06-29 00:00:00",364,598.74
"2014-06-30 00:00:00",775,616.92
"2014-07-01 00:00:00",989,643.32
"2014-07-02 00:00:00",1047,628.34
"2014-07-03 00:00:00",832,639.99
"2014-07-04 00:00:00",502,632.63
"2014-07-05 00:00:00",647,623.75
"2014-07-06 00:00:00",476,626.05
"2014-07-07 00:00:00",584,617.63
"2014-07-08 00:00:00",345,614.5
"2014-07-09 00:00:00",459,617.17
"2014-07-10 00:00:00",625,618.31
"2014-07-11 00:00:00",500,624.87
"2014-07-12 00:00:00",507,632.25
"2014-07-13 00:00:00",591,633.09
"2014-07-14 00:00:00",606,622.53
"2014-07-15 00:00:00",788,620.86
"2014-07-16 00:00:00",755,618.26
"2014-07-17 00:00:00",598,621.28
"2014-07-18 00:00:00",626,624.04
"2014-07-19 00:00:00",221,629.64
"2014-07-20 00:00:00",302,623.94
"2014-07-21 00:00:00",333,620.47
"2014-07-22 00:00:00",240,624.41
"2014-07-23 00:00:00",292,623
"2014-07-24 00:00:00",472,610.67
"2014-07-25 00:00:00",556,603.23
"2014-07-26 00:00:00",244,598.12
"2014-07-27 00:00:00",132,597.59
"2014-07-28 00:00:00",522,587.82
"2014-07-29 00:00:00",442,585.41
"2014-07-30 00:00:00",349,575.16
"2014-07-31 00:00:00",278,578.87
"2014-08-01 00:00:00",316,595.21
"2014-08-02 00:00:00",252,593.17
"2014-08-03 00:00:00",325,586.34
"2014-08-04 00:00:00",223,590.79
"2014-08-05 00:00:00",315,589.85
"2014-08-06 00:00:00",262,590.5
"2014-08-07 00:00:00",197,591.5
"2014-08-08 00:00:00",239,600.14
"2014-08-09 00:00:00",239,591.48
"2014-08-10 00:00:00",276,592.35
"2014-08-11 00:00:00",445,582.67
"2014-08-12 00:00:00",590,570.14
"2014-08-13 00:00:00",554,548.33
"2014-08-14 00:00:00",389,520.44
"2014-08-15 00:00:00",369,499.23
"2014-08-16 00:00:00",394,503.75
"2014-08-17 00:00:00",376,501.47
"2014-08-18 00:00:00",763,471.61
"2014-08-19 00:00:00",382,471.43
"2014-08-20 00:00:00",320,495.18
"2014-08-21 00:00:00",444,524.27
"2014-08-22 00:00:00",437,512.51
"2014-08-23 00:00:00",220,505.4
"2014-08-24 00:00:00",113,505.82
"2014-08-25 00:00:00",199,505.52
"2014-08-26 00:00:00",327,508.92
"2014-08-27 00:00:00",416,520.02
"2014-08-28 00:00:00",357,512.47
"2014-08-29 00:00:00",286,510.93
"2014-08-30 00:00:00",156,508.02
"2014-08-31 00:00:00",162,493.33
"2014-09-01 00:00:00",265,479.63
"2014-09-02 00:00:00",231,478.77
"2014-09-03 00:00:00",299,482.06
"2014-09-04 00:00:00",212,487.37
"2014-09-05 00:00:00",229,489.04
"2014-09-06 00:00:00",118,486.09
"2014-09-07 00:00:00",138,484.61
"2014-09-08 00:00:00",267,478.26
"2014-09-09 00:00:00",220,473.06
"2014-09-10 00:00:00",213,481.31
"2014-09-11 00:00:00",143,481.75
"2014-09-12 00:00:00",168,475.42
"2014-09-13 00:00:00",97,477.64
"2014-09-14 00:00:00",136,476.15
"2014-09-15 00:00:00",167,476.49
"2014-09-16 00:00:00",107,471.38
"2014-09-17 00:00:00",206,463.83
"2014-09-18 00:00:00",372,435.52
"2014-09-19 00:00:00",260,407.64
"2014-09-20 00:00:00",290,407.6
"2014-09-21 00:00:00",315,404.79
"2014-09-22 00:00:00",142,404.68
"2014-09-23 00:00:00",206,420.13
"2014-09-24 00:00:00",203,430.65
"2014-09-25 00:00:00",167,418.56
