"DateTime","Price","Out","At","In"
"2015-12-28 00:00:00",423.5,1639759,461673,4515202
"2015-12-29 00:00:00",426.43,1507621,527479,4579798
"2015-12-30 00:00:00",427.91,1436157,595204,4616451
"2015-12-31 00:00:00",425.13,1537421,579456,4526897
"2016-01-01 00:00:00",431.91,1311571,733400,4616170
"2016-01-02 00:00:00",434.08,1292867,728976,4624297
"2016-01-03 00:00:00",428.62,1403027,700522,4562558
"2016-01-04 00:00:00",431.93,1297971,812614,4565200
"2016-01-05 00:00:00",432.06,1295551,831190,4557074
"2016-01-06 00:00:00",428.56,1429402,725940,4538674
"2016-01-07 00:00:00",443.03,1113059,569315,5035704
"2016-01-08 00:00:00",454.72,908044,450925,5357171
"2016-01-09 00:00:00",449.73,984760,527186,5227494
"2016-01-10 00:00:00",443.75,1152372,620466,4990314
"2016-01-11 00:00:00",446.42,991481,744326,5035646
"2016-01-12 00:00:00",445.78,1025132,765881,5001860
"2016-01-13 00:00:00",432.06,1557993,749636,4487616
"2016-01-14 00:00:00",430.38,1617245,707376,4479428
"2016-01-15 00:00:00",397.43,2357160,235748,4223465
"2016-01-16 00:00:00",368.56,2584007,367773,3868071
"2016-01-17 00:00:00",384.22,2385681,372360,4088298
"2016-01-18 00:00:00",380.25,2371895,453283,4021495
"2016-01-19 00:00:00",381.29,2338967,496944,4014413
"2016-01-20 00:00:00",399.89,2124070,320176,4327294
"2016-01-21 00:00:00",413.64,1921619,380923,4471069
"2016-01-22 00:00:00",393.2,2186473,441454,4125637
"2016-01-23 00:00:00",387.85,2239403,531906,3998202
"2016-01-24 00:00:00",395.47,2116828,537446,4150656
"2016-01-25 00:00:00",395.32,2103053,564770,4140863
"2016-01-26 00:00:00",392.82,2121873,593390,4106351
"2016-01-27 00:00:00",393.36,2095053,636352,4096426
"2016-01-28 00:00:00",386.07,2169205,736130,3923520
"2016-01-29 00:00:00",374.62,2545454,454634,3798749
"2016-01-30 00:00:00",378.4,2355418,622165,3827785
"2016-01-31 00:00:00",373.71,2457018,599778,3765715
"2016-02-01 00:00:00",372.53,2343499,635624,3754314
"2016-02-02 00:00:00",374.02,2169377,720797,3748496
"2016-02-03 00:00:00",371.04,2119761,704297,3726545
"2016-02-04 00:00:00",379.94,1907853,863265,3811162
"2016-02-05 00:00:00",387.82,1706952,757193,4132305
"2016-02-06 00:00:00",379.61,1886625,942186,3805641
"2016-02-07 00:00:00",378.95,1889543,1021124,3786111
"2016-02-08 00:00:00",376.51,1985355,973925,3757231
"2016-02-09 00:00:00",374.51,2023509,957669,3744854
"2016-02-10 00:00:00",379.74,1847882,1095772,3796526
"2016-02-11 00:00:00",377.99,1860564,1140284,3770215
"2016-02-12 00:00:00",382.86,1745121,1223717,3839718
"2016-02-13 00:00:00",387.94,1664008,1052947,4123887
"2016-02-14 00:00:00",398,1571100,428866,4871497
"2016-02-15 00:00:00",403.71,1550778,392240,4952186
"2016-02-16 00:00:00",403.88,1548952,429174,4945180
"2016-02-17 00:00:00",413.25,1452706,292341,5208233
"2016-02-18 00:00:00",420.15,1375729,409470,5205934
"2016-02-19 00:00:00",420.31,1383422,460402,5150566
"2016-02-20 00:00:00",431.08,1172227,410525,5438913
"2016-02-21 00:00:00",436.54,1128266,439313,5479460
"2016-02-22 00:00:00",435.74,1133618,540183,5429305
"2016-02-23 00:00:00",427.56,1399677,437023,5279368
"2016-02-24 00:00:00",417.77,1716040,413550,5002232
"2016-02-25 00:00:00",422.35,1524568,508047,5097667
"2016-02-26 00:00:00",423.35,1501239,547892,5095924
"2016-02-27 00:00:00",430.72,1183827,579944,5392782
"2016-02-28 00:00:00",428.42,1321826,633341,5270474
"2016-02-29 00:00:00",435.58,1129197,588641,5546440
"2016-03-01 00:00:00",433.76,1136422,815473,5351803
"2016-03-02 00:00:00",429.88,1224360,852095,5237234
"2016-03-03 00:00:00",420.39,1913752,460327,4946148
"2016-03-04 00:00:00",415.29,1953484,473317,4840559
"2016-03-05 00:00:00",398.5,2366607,421009,4464658
"2016-03-06 00:00:00",402.55,2270986,428721,4563164
"2016-03-07 00:00:00",409.28,2048731,441561,4782640
"2016-03-08 00:00:00",412.57,1959221,476173,4849218
"2016-03-09 00:00:00",411.91,1915011,511993,4780243
"2016-03-10 00:00:00",413.88,1817942,623985,4790819
"2016-03-11 00:00:00",418.76,1665309,671631,4919661
"2016-03-12 00:00:00",413.85,1756587,757554,4766941
"2016-03-13 00:00:00",412.75,1853185,711855,4735100
"2016-03-14 00:00:00",413.64,1832921,743401,4740772
"2016-03-15 00:00:00",414.84,1721847,867757,4749334
"2016-03-16 00:00:00",415.14,1713788,903020,4745347
"2016-03-17 00:00:00",417.45,1645585,952543,4785247
"2016-03-18 00:00:00",410.53,1969107,764788,4671981
"2016-03-19 00:00:00",406.31,2427881,460617,4550522
"2016-03-20 00:00:00",410.35,1936165,871713,4657682
"2016-03-21 00:00:00",410.17,1938899,882229,4652770
"2016-03-22 00:00:00",414.36,1778313,971503,4752157
"2016-03-23 00:00:00",416.88,1649830,937558,4943491
"2016-03-24 00:00:00",415.28,1677613,1092860,4767220
"2016-03-25 00:00:00",414.86,1764148,1038852,4758376
"2016-03-26 00:00:00",415.82,1649113,1019076,4841426
"2016-03-27 00:00:00",421.43,1547822,479919,5484457
"2016-03-28 00:00:00",422.53,1505984,484753,5450365
"2016-03-29 00:00:00",415.45,1706763,1022747,4532905
"2016-03-30 00:00:00",412.31,1825384,963266,4436385
"2016-03-31 00:00:00",414.31,1712568,1073056,4452465
"2016-04-01 00:00:00",414.83,1690805,1069526,4461809
"2016-04-02 00:00:00",417.59,1548295,983444,4663691
"2016-04-03 00:00:00",418.57,1499191,973103,4728001
"2016-04-04 00:00:00",418.3,1557330,718329,4940629
"2016-04-05 00:00:00",420.81,1467428,578206,5182795
"2016-04-06 00:00:00",421.18,1464123,550702,5237010
"2016-04-07 00:00:00",419.99,1490315,715542,5077525
"2016-04-08 00:00:00",419.51,1491564,773283,5046004
"2016-04-09 00:00:00",415.62,1913609,885152,4539110
"2016-04-10 00:00:00",419.16,1535158,777390,5079772
"2016-04-11 00:00:00",420.23,1483179,814810,5112147
"2016-04-12 00:00:00",423.7,1425281,386004,5622449
"2016-04-13 00:00:00",424,1422681,415104,5596414
"2016-04-14 00:00:00",423.64,1422220,512130,5509333
"2016-04-15 00:00:00",426.37,1354173,450411,5667171
"2016-04-16 00:00:00",429.42,1237771,381666,5867582
"2016-04-17 00:00:00",427.21,1332602,386865,5783515
"2016-04-18 00:00:00",426.71,1351855,476266,5693850
"2016-04-19 00:00:00",431.46,1197934,335478,6009595
"2016-04-20 00:00:00",437.69,1080963,233097,6232897
"2016-04-21 00:00:00",445.17,989468,209707,6375580
"2016-04-22 00:00:00",446.04,983790,276573,6327534
"2016-04-23 00:00:00",447.28,967507,334346,6319195
"2016-04-24 00:00:00",454.84,898700,174710,6566837
"2016-04-25 00:00:00",459.01,870638,171205,6616791
"2016-04-26 00:00:00",464.05,858708,154924,6665920
"2016-04-27 00:00:00",456.25,958067,328598,6408882
"2016-04-28 00:00:00",442,1341071,370068,6001501
"2016-04-29 00:00:00",450.77,1073230,371863,6285563
"2016-04-30 00:00:00",451.76,1006313,458139,6284975
"2016-05-01 00:00:00",450.87,1050430,496626,6232615
"2016-05-02 00:00:00",447.04,1183989,539576,6069367
"2016-05-03 00:00:00",446.55,1189560,624041,5993051
"2016-05-04 00:00:00",447.55,1096407,691801,6019829
"2016-05-05 00:00:00",446.77,1138177,688385,5993638
