"DateTime","Price","Losses","Break Even","Profit"
"2015-12-26 00:00:00",428.47,1588534,348537,4648101
"2015-12-27 00:00:00",415.8,1865466,205771,4530494
"2015-12-28 00:00:00",423.5,1690774,366333,4559527
"2015-12-29 00:00:00",426.43,1584043,410195,4620660
"2015-12-30 00:00:00",427.91,1529819,468411,4649582
"2015-12-31 00:00:00",425.13,1619974,450290,4573510
"2016-01-01 00:00:00",431.91,1428263,575126,4657752
"2016-01-02 00:00:00",434.08,1414320,568829,4662991
"2016-01-03 00:00:00",428.62,1515143,536928,4614036
"2016-01-04 00:00:00",431.93,1422526,638601,4614658
"2016-01-05 00:00:00",432.06,1421644,651593,4610578
"2016-01-06 00:00:00",428.56,1541461,563015,4589540
"2016-01-07 00:00:00",443.03,1255560,475407,4987111
"2016-01-08 00:00:00",454.72,1065677,386878,5263585
"2016-01-09 00:00:00",449.73,1139060,424159,5176221
"2016-01-10 00:00:00",443.75,1287192,494619,4981341
"2016-01-11 00:00:00",446.42,1148753,599035,5023665
"2016-01-12 00:00:00",445.78,1175166,616270,5001437
"2016-01-13 00:00:00",432.06,1612329,622689,4560227
"2016-01-14 00:00:00",430.38,1676572,575102,4552375
"2016-01-15 00:00:00",397.43,2312306,199870,4304197
"2016-01-16 00:00:00",368.56,2527188,315955,3976708
"2016-01-17 00:00:00",384.22,2366381,304239,4175719
"2016-01-18 00:00:00",380.25,2366019,368046,4112608
"2016-01-19 00:00:00",381.29,2344315,400301,4105708
"2016-01-20 00:00:00",399.89,2156147,257463,4357930
"2016-01-21 00:00:00",413.64,1979849,312596,4481166
"2016-01-22 00:00:00",393.2,2208160,338578,4206826
"2016-01-23 00:00:00",387.85,2254361,418983,4096167
"2016-01-24 00:00:00",395.47,2163540,408235,4233155
"2016-01-25 00:00:00",395.32,2155419,427753,4225514
"2016-01-26 00:00:00",392.82,2176882,447544,4197188
"2016-01-27 00:00:00",393.36,2158146,480107,4189578
"2016-01-28 00:00:00",386.07,2225065,569150,4034640
"2016-01-29 00:00:00",374.62,2493653,387557,3917627
"2016-01-30 00:00:00",378.4,2361018,494953,3949397
"2016-01-31 00:00:00",373.71,2446362,485055,3891094
"2016-02-01 00:00:00",372.53,2343292,514530,3875615
"2016-02-02 00:00:00",374.02,2189849,576185,3872636
"2016-02-03 00:00:00",371.04,2138737,562114,3849752
"2016-02-04 00:00:00",379.94,1970001,679016,3933263
"2016-02-05 00:00:00",387.82,1802948,598635,4194867
"2016-02-06 00:00:00",379.61,1960610,741320,3932522
"2016-02-07 00:00:00",378.95,1969484,806326,3920968
"2016-02-08 00:00:00",376.51,2045528,781860,3889123
"2016-02-09 00:00:00",374.51,2084852,766551,3874629
"2016-02-10 00:00:00",379.74,1941016,871648,3927516
"2016-02-11 00:00:00",377.99,1954164,914468,3902431
"2016-02-12 00:00:00",382.86,1854004,984508,3970044
"2016-02-13 00:00:00",387.94,1780742,849392,4210708
"2016-02-14 00:00:00",398,1696934,349809,4824720
"2016-02-15 00:00:00",403.71,1674522,309646,4911036
"2016-02-16 00:00:00",403.88,1673580,333438,4916288
"2016-02-17 00:00:00",413.25,1584790,233821,5134669
"2016-02-18 00:00:00",420.15,1513878,327665,5149590
"2016-02-19 00:00:00",420.31,1520041,361908,5112441
"2016-02-20 00:00:00",431.08,1336049,329467,5356149
"2016-02-21 00:00:00",436.54,1297009,339321,5410709
"2016-02-22 00:00:00",435.74,1304798,413061,5385247
"2016-02-23 00:00:00",427.56,1514934,336493,5264641
"2016-02-24 00:00:00",417.77,1771390,334305,5026127
"2016-02-25 00:00:00",422.35,1632087,381899,5116296
"2016-02-26 00:00:00",423.35,1617465,408693,5118897
"2016-02-27 00:00:00",430.72,1354133,455130,5347290
"2016-02-28 00:00:00",428.42,1471080,485576,5268985
"2016-02-29 00:00:00",435.58,1305510,464068,5494700
"2016-03-01 00:00:00",433.76,1317056,637415,5349227
"2016-03-02 00:00:00",429.88,1398338,657895,5257456
"2016-03-03 00:00:00",420.39,1950598,361778,5007851
"2016-03-04 00:00:00",415.29,1985127,373897,4908336
"2016-03-05 00:00:00",398.5,2332763,352633,4566878
"2016-03-06 00:00:00",402.55,2264832,339096,4658943
"2016-03-07 00:00:00",409.28,2085642,359366,4827924
"2016-03-08 00:00:00",412.57,2017870,372028,4894714
"2016-03-09 00:00:00",411.91,1980683,396100,4830464
"2016-03-10 00:00:00",413.88,1899369,488079,4845298
"2016-03-11 00:00:00",418.76,1778654,526169,4951778
"2016-03-12 00:00:00",413.85,1860319,588236,4832527
"2016-03-13 00:00:00",412.75,1944359,546037,4809744
"2016-03-14 00:00:00",413.64,1928691,574993,4813410
"2016-03-15 00:00:00",414.84,1835926,679695,4823317
"2016-03-16 00:00:00",415.14,1831463,707597,4823095
"2016-03-17 00:00:00",417.45,1772894,749295,4861186
"2016-03-18 00:00:00",410.53,2043972,602042,4759862
"2016-03-19 00:00:00",406.31,2414873,372430,4651717
"2016-03-20 00:00:00",410.35,2028534,683235,4753791
"2016-03-21 00:00:00",410.17,2031157,694428,4748313
"2016-03-22 00:00:00",414.36,1900177,765582,4836214
"2016-03-23 00:00:00",416.88,1785967,752503,4992409
"2016-03-24 00:00:00",415.28,1810545,875164,4851984
"2016-03-25 00:00:00",414.86,1888963,824730,4847683
"2016-03-26 00:00:00",415.82,1786216,810063,4913336
"2016-03-27 00:00:00",421.43,1693818,391925,5426455
"2016-03-28 00:00:00",422.53,1651803,391538,5397761
"2016-03-29 00:00:00",415.45,1820527,809819,4632069
"2016-03-30 00:00:00",412.31,1915231,764358,4545446
"2016-03-31 00:00:00",414.31,1827122,847121,4563846
"2016-04-01 00:00:00",414.83,1811233,837533,4573374
"2016-04-02 00:00:00",417.59,1688368,762860,4744202
"2016-04-03 00:00:00",418.57,1649058,752222,4799015
"2016-04-04 00:00:00",418.3,1697708,551047,4967533
"2016-04-05 00:00:00",420.81,1617134,446269,5165026
"2016-04-06 00:00:00",421.18,1613639,424514,5213682
"2016-04-07 00:00:00",419.99,1639768,551875,5091739
"2016-04-08 00:00:00",419.51,1643650,595306,5071895
"2016-04-09 00:00:00",415.62,1977718,706861,4653292
"2016-04-10 00:00:00",419.16,1687836,598618,5105866
"2016-04-11 00:00:00",420.23,1637828,637748,5134560
"2016-04-12 00:00:00",423.7,1578763,316643,5538328
"2016-04-13 00:00:00",424,1577776,329155,5527268
"2016-04-14 00:00:00",423.64,1579918,396601,5467164
"2016-04-15 00:00:00",426.37,1518573,346891,5606291
"2016-04-16 00:00:00",429.42,1416209,303176,5767634
"2016-04-17 00:00:00",427.21,1504285,288687,5710010
"2016-04-18 00:00:00",426.71,1519230,358680,5644061
"2016-04-19 00:00:00",431.46,1382271,266281,5894455
"2016-04-20 00:00:00",437.69,1274352,186605,6086000
