"DateTime","Number of Large Transactions","Price"
"2015-12-23 00:00:00",4896,439.53
"2015-12-24 00:00:00",5303,451.19
"2015-12-25 00:00:00",4096,453.48
"2015-12-26 00:00:00",2948,428.47
"2015-12-27 00:00:00",995,415.8
"2015-12-28 00:00:00",1598,423.5
"2015-12-29 00:00:00",1244,426.43
"2015-12-30 00:00:00",813,427.91
"2015-12-31 00:00:00",651,425.13
"2016-01-01 00:00:00",818,431.91
"2016-01-02 00:00:00",736,434.08
"2016-01-03 00:00:00",445,428.62
"2016-01-04 00:00:00",703,431.93
"2016-01-05 00:00:00",938,432.06
"2016-01-06 00:00:00",1016,428.56
"2016-01-07 00:00:00",1354,443.03
"2016-01-08 00:00:00",866,454.72
"2016-01-09 00:00:00",565,449.73
"2016-01-10 00:00:00",1105,443.75
"2016-01-11 00:00:00",1221,446.42
"2016-01-12 00:00:00",777,445.78
"2016-01-13 00:00:00",1098,432.06
"2016-01-14 00:00:00",803,430.38
"2016-01-15 00:00:00",1122,397.43
"2016-01-16 00:00:00",990,368.56
"2016-01-17 00:00:00",9311,384.22
"2016-01-18 00:00:00",6661,380.25
"2016-01-19 00:00:00",5749,381.29
"2016-01-20 00:00:00",4420,399.89
"2016-01-21 00:00:00",7348,413.64
"2016-01-22 00:00:00",8273,393.2
"2016-01-23 00:00:00",7773,387.85
"2016-01-24 00:00:00",13993,395.47
"2016-01-25 00:00:00",6195,395.32
"2016-01-26 00:00:00",10534,392.82
"2016-01-27 00:00:00",13806,393.36
"2016-01-28 00:00:00",7389,386.07
"2016-01-29 00:00:00",6766,374.62
"2016-01-30 00:00:00",4730,378.4
"2016-01-31 00:00:00",1650,373.71
"2016-02-01 00:00:00",7062,372.53
"2016-02-02 00:00:00",3486,374.02
"2016-02-03 00:00:00",937,371.04
"2016-02-04 00:00:00",1877,379.94
"2016-02-05 00:00:00",2557,387.82
"2016-02-06 00:00:00",2183,379.61
"2016-02-07 00:00:00",2233,378.95
"2016-02-08 00:00:00",1769,376.51
"2016-02-09 00:00:00",1257,374.51
"2016-02-10 00:00:00",1558,379.74
"2016-02-11 00:00:00",1474,377.99
"2016-02-12 00:00:00",1762,382.86
"2016-02-13 00:00:00",1922,387.94
"2016-02-14 00:00:00",2062,398
"2016-02-15 00:00:00",3322,403.71
"2016-02-16 00:00:00",3775,403.88
"2016-02-17 00:00:00",3859,413.25
"2016-02-18 00:00:00",4105,420.15
"2016-02-19 00:00:00",4743,420.31
"2016-02-20 00:00:00",4293,431.08
"2016-02-21 00:00:00",4414,436.54
"2016-02-22 00:00:00",4860,435.74
"2016-02-23 00:00:00",3389,427.56
"2016-02-24 00:00:00",3394,417.77
"2016-02-25 00:00:00",3363,422.35
"2016-02-26 00:00:00",2981,423.35
"2016-02-27 00:00:00",2089,430.72
"2016-02-28 00:00:00",8072,428.42
"2016-02-29 00:00:00",11713,435.58
"2016-03-01 00:00:00",9371,433.76
"2016-03-02 00:00:00",6972,429.88
"2016-03-03 00:00:00",3752,420.39
"2016-03-04 00:00:00",10282,415.29
"2016-03-05 00:00:00",30062,398.5
"2016-03-06 00:00:00",2050,402.55
"2016-03-07 00:00:00",3087,409.28
"2016-03-08 00:00:00",2225,412.57
"2016-03-09 00:00:00",2151,411.91
"2016-03-10 00:00:00",2022,413.88
"2016-03-11 00:00:00",2412,418.76
"2016-03-12 00:00:00",1708,413.85
"2016-03-13 00:00:00",1815,412.75
"2016-03-14 00:00:00",2247,413.64
"2016-03-15 00:00:00",3163,414.84
