"DateTime","Number of Large Transactions","Price"
"2017-12-28 00:00:00",18853,14485.79
"2017-12-29 00:00:00",17839,14530.45
"2017-12-30 00:00:00",17006,13211.78
"2017-12-31 00:00:00",13335,13300.63
"2018-01-01 00:00:00",12464,13399.6
"2018-01-02 00:00:00",20618,14120.15
"2018-01-03 00:00:00",20125,15007.36
"2018-01-04 00:00:00",21665,14826.67
"2018-01-05 00:00:00",22425,15979.66
"2018-01-06 00:00:00",22015,16769.71
"2018-01-07 00:00:00",19581,16487.97
"2018-01-08 00:00:00",19880,15102.62
"2018-01-09 00:00:00",22755,14805.92
"2018-01-10 00:00:00",22841,14185.02
"2018-01-11 00:00:00",20975,13902.96
"2018-01-12 00:00:00",19983,13490.5
"2018-01-13 00:00:00",15078,14212.66
"2018-01-14 00:00:00",13101,13723.79
"2018-01-15 00:00:00",16586,13886.27
"2018-01-16 00:00:00",19832,11840.77
"2018-01-17 00:00:00",16985,10470.84
"2018-01-18 00:00:00",18945,11330.38
"2018-01-19 00:00:00",14002,11323.84
"2018-01-20 00:00:00",12699,12266.58
"2018-01-21 00:00:00",10595,11944.54
"2018-01-22 00:00:00",13341,10990.75
"2018-01-23 00:00:00",13383,10684.51
"2018-01-24 00:00:00",13957,11019.08
"2018-01-25 00:00:00",13657,11336.13
"2018-01-26 00:00:00",13378,11001.7
"2018-01-27 00:00:00",9645,11258.95
"2018-01-28 00:00:00",9929,11736.07
"2018-01-29 00:00:00",12305,11474.91
"2018-01-30 00:00:00",12657,10567.46
"2018-01-31 00:00:00",10837,10038.04
"2018-02-01 00:00:00",12520,9503.9
"2018-02-02 00:00:00",13208,8467.07
"2018-02-03 00:00:00",9703,8849.53
"2018-02-04 00:00:00",6756,8645.41
"2018-02-05 00:00:00",10718,7509.3
"2018-02-06 00:00:00",11169,6950.37
"2018-02-07 00:00:00",9660,7890.77
"2018-02-08 00:00:00",8069,8117.21
"2018-02-09 00:00:00",8873,8259.28
"2018-02-10 00:00:00",7535,8628.87
"2018-02-11 00:00:00",5790,8217.83
"2018-02-12 00:00:00",8146,8540.88
"2018-02-13 00:00:00",7859,8667.25
"2018-02-14 00:00:00",9101,9025.6
"2018-02-15 00:00:00",9426,9793.48
"2018-02-16 00:00:00",8567,10011.76
"2018-02-17 00:00:00",7663,10596.76
"2018-02-18 00:00:00",8285,10724.68
"2018-02-19 00:00:00",10120,10801.14
"2018-02-20 00:00:00",12038,11466.59
"2018-02-21 00:00:00",10446,10775.9
"2018-02-22 00:00:00",8838,10349.38
"2018-02-23 00:00:00",9373,10012.33
"2018-02-24 00:00:00",7339,9962.27
"2018-02-25 00:00:00",5599,9601.62
"2018-02-26 00:00:00",8392,9934.67
"2018-02-27 00:00:00",10138,10516.81
"2018-02-28 00:00:00",9789,10685.45
"2018-03-01 00:00:00",10315,10668.93
"2018-03-02 00:00:00",11204,10996.7
"2018-03-03 00:00:00",9368,11286.89
"2018-03-04 00:00:00",7012,11311.9
"2018-03-05 00:00:00",10105,11562.85
"2018-03-06 00:00:00",9941,11015.47
"2018-03-07 00:00:00",9427,10192.22
"2018-03-08 00:00:00",8661,9603.03
"2018-03-09 00:00:00",9453,8913.42
"2018-03-10 00:00:00",6184,9123.03
"2018-03-11 00:00:00",5749,9109.98
"2018-03-12 00:00:00",8105,9351.97
"2018-03-13 00:00:00",8007,9171.39
"2018-03-14 00:00:00",7905,8663.8
"2018-03-15 00:00:00",8754,8065.3
"2018-03-16 00:00:00",7757,8270.37
"2018-03-17 00:00:00",5149,8063.03
"2018-03-18 00:00:00",6312,7809.16
"2018-03-19 00:00:00",8392,8427.63
"2018-03-20 00:00:00",8581,8698.02
"2018-03-21 00:00:00",8535,8981.6
"2018-03-22 00:00:00",7911,8803.94
