"DateTime","Price","Losses","Break Even","Profit"
"2011-12-26 00:00:00",4.06,375224,15610,120556
"2011-12-27 00:00:00",4.03,375204,17039,119845
"2011-12-28 00:00:00",4.12,374431,14465,123450
"2011-12-29 00:00:00",4.22,374101,11407,127440
"2011-12-30 00:00:00",4.18,374174,15181,123989
"2011-12-31 00:00:00",4.6,372108,4257,137039
"2012-01-01 00:00:00",5.06,355256,18091,140360
"2012-01-02 00:00:00",5.14,354623,20150,139293
"2012-01-03 00:00:00",4.97,356025,22468,135292
"2012-01-04 00:00:00",5.23,347333,22173,144635
"2012-01-05 00:00:00",6.4,320522,11411,182828
"2012-01-06 00:00:00",6.67,316519,12483,186085
"2012-01-07 00:00:00",6.7,313586,16853,184855
"2012-01-08 00:00:00",6.97,311048,16653,187927
"2012-01-09 00:00:00",6.5,320722,17671,177091
"2012-01-10 00:00:00",6.45,319761,19926,175904
"2012-01-11 00:00:00",6.78,309412,23731,181399
"2012-01-12 00:00:00",6.67,310028,25794,179245
"2012-01-13 00:00:00",6.6,312094,25146,178320
"2012-01-14 00:00:00",6.59,312478,26227,177578
"2012-01-15 00:00:00",6.91,307400,26567,182563
"2012-01-16 00:00:00",6.85,307415,30001,179765
"2012-01-17 00:00:00",5.8,338717,33536,145662
"2012-01-18 00:00:00",6.03,333735,18027,166891
"2012-01-19 00:00:00",6.12,330649,21592,167038
"2012-01-20 00:00:00",6.42,319627,29332,171092
"2012-01-21 00:00:00",6.32,321013,30086,169364
"2012-01-22 00:00:00",6.28,323993,28524,168468
"2012-01-23 00:00:00",6.3,321418,31734,168670
"2012-01-24 00:00:00",6.31,321067,33073,168243
"2012-01-25 00:00:00",5.91,339314,29412,154366
"2012-01-26 00:00:00",5.61,349665,34293,139631
"2012-01-27 00:00:00",5.28,354218,46586,123214
"2012-01-28 00:00:00",5.51,350191,36842,137561
"2012-01-29 00:00:00",5.52,348951,38270,136938
"2012-01-30 00:00:00",5.49,348599,39748,136687
"2012-01-31 00:00:00",5.54,346978,41734,137072
"2012-02-01 00:00:00",5.84,334450,43676,148265
"2012-02-02 00:00:00",6.01,327304,27535,172237
"2012-02-03 00:00:00",5.93,331687,27215,168834
"2012-02-04 00:00:00",5.92,332513,25419,169972
"2012-02-05 00:00:00",5.67,346051,36110,146100
"2012-02-06 00:00:00",5.59,351640,38083,138796
"2012-02-07 00:00:00",5.62,348469,41663,138735
"2012-02-08 00:00:00",5.57,349765,41391,138463
"2012-02-09 00:00:00",5.71,341121,43767,145678
"2012-02-10 00:00:00",5.9,330543,27895,172458
"2012-02-11 00:00:00",5.77,337436,39951,153598
"2012-02-12 00:00:00",5.64,347268,44654,139375
"2012-02-13 00:00:00",5.46,353910,43000,134759
"2012-02-14 00:00:00",4.83,401130,15226,115774
"2012-02-15 00:00:00",4.54,412160,6410,114321
"2012-02-16 00:00:00",4.16,415290,9926,108491
"2012-02-17 00:00:00",4.5,409341,7633,117237
"2012-02-18 00:00:00",4.31,413696,9566,111595
"2012-02-19 00:00:00",4.35,410123,11522,114306
"2012-02-20 00:00:00",4.38,407034,14959,114837
"2012-02-21 00:00:00",4.31,409715,16142,111431
"2012-02-22 00:00:00",4.4,404426,18579,114823
"2012-02-23 00:00:00",4.81,389980,17569,130832
"2012-02-24 00:00:00",4.97,381329,26078,131368
"2012-02-25 00:00:00",4.86,382118,27746,128598
"2012-02-26 00:00:00",4.93,380681,29787,128703
"2012-02-27 00:00:00",4.94,379978,31972,128031
"2012-02-28 00:00:00",4.87,380175,33827,126341
"2012-02-29 00:00:00",4.85,384732,30690,125633
"2012-03-01 00:00:00",4.93,378164,37305,125752
"2012-03-02 00:00:00",4.73,397473,21685,122024
"2012-03-03 00:00:00",4.64,406050,15225,120426
"2012-03-04 00:00:00",4.78,385152,35199,122575
"2012-03-05 00:00:00",4.94,376468,41306,125932
"2012-03-06 00:00:00",4.99,375409,40725,128326
"2012-03-07 00:00:00",4.95,375777,42504,127360
"2012-03-08 00:00:00",4.88,376294,46453,123848
"2012-03-09 00:00:00",4.89,375819,47672,123446
"2012-03-10 00:00:00",4.83,381952,44323,121290
"2012-03-11 00:00:00",4.9,375343,49876,123050
"2012-03-12 00:00:00",4.91,375014,50665,123141
"2012-03-13 00:00:00",5.14,370418,33438,145880
"2012-03-14 00:00:00",5.35,343955,37362,168909
"2012-03-15 00:00:00",5.36,353689,27024,170588
"2012-03-16 00:00:00",5.35,354091,29061,169028
"2012-03-17 00:00:00",5.31,361428,24893,166980
"2012-03-18 00:00:00",5.28,362205,29171,163373
"2012-03-19 00:00:00",4.9,395477,36432,123233
"2012-03-20 00:00:00",4.75,416974,20046,119260
"2012-03-21 00:00:00",4.81,402519,34257,120566
"2012-03-22 00:00:00",4.74,415203,24131,118782
"2012-03-23 00:00:00",4.7,418443,21951,118336
"2012-03-24 00:00:00",4.67,425386,16142,118230
"2012-03-25 00:00:00",4.49,437937,6732,115371
"2012-03-26 00:00:00",4.63,422666,17741,119933
"2012-03-27 00:00:00",4.67,419725,20725,120366
"2012-03-28 00:00:00",4.78,405996,30966,124645
"2012-03-29 00:00:00",4.79,402594,35317,124178
"2012-03-30 00:00:00",4.8,401634,33175,127880
"2012-03-31 00:00:00",4.89,387555,41133,134711
"2012-04-01 00:00:00",4.83,396931,37784,129141
"2012-04-02 00:00:00",4.92,385992,36047,142310
"2012-04-03 00:00:00",4.9,385418,43095,135885
"2012-04-04 00:00:00",4.93,384251,38787,142240
"2012-04-05 00:00:00",4.9,384763,45000,136141
"2012-04-06 00:00:00",4.93,383459,42473,140015
"2012-04-07 00:00:00",4.82,396065,44529,126063
"2012-04-08 00:00:00",4.71,422132,26796,118614
"2012-04-09 00:00:00",4.81,402918,41212,124021
"2012-04-10 00:00:00",4.83,392799,49103,127580
"2012-04-11 00:00:00",4.89,383574,55589,131152
"2012-04-12 00:00:00",4.89,383254,53640,134188
"2012-04-13 00:00:00",4.84,394358,49786,127529
"2012-04-14 00:00:00",4.97,375592,46839,150374
"2012-04-15 00:00:00",4.92,382181,53189,138515
"2012-04-16 00:00:00",4.95,380765,47640,145938
"2012-04-17 00:00:00",4.97,374751,52771,146980
"2012-04-18 00:00:00",5.07,372418,15354,187279
"2012-04-19 00:00:00",5.15,370912,11329,193007
"2012-04-20 00:00:00",5.29,363632,12113,199850
"2012-04-21 00:00:00",5.3,363131,15121,197826
"2012-04-22 00:00:00",5.21,367884,17346,191604
"2012-04-23 00:00:00",5.09,378871,19258,179419
"2012-04-24 00:00:00",5.08,378692,21637,178012
"2012-04-25 00:00:00",5.11,377178,23516,178501
"2012-04-26 00:00:00",5.08,377385,27185,176331
"2012-04-27 00:00:00",5.08,377032,29299,175052
"2012-04-28 00:00:00",4.98,401799,28552,151815
"2012-04-29 00:00:00",4.95,401921,39867,141117
"2012-04-30 00:00:00",4.94,400982,42953,139737
"2012-05-01 00:00:00",4.96,398874,41457,144086
"2012-05-02 00:00:00",5.07,375174,28727,181464
"2012-05-03 00:00:00",5.1,374177,31846,180993
"2012-05-04 00:00:00",5.11,373663,33930,180216
"2012-05-05 00:00:00",5.08,374388,37165,177400
"2012-05-06 00:00:00",5.06,376000,36479,173857
"2012-05-07 00:00:00",5.04,380467,37752,168419
"2012-05-08 00:00:00",5.03,382394,37638,167681
"2012-05-09 00:00:00",5.05,375605,41311,171356
"2012-05-10 00:00:00",4.97,411396,32605,144756
"2012-05-11 00:00:00",4.9,419915,34615,134660
"2012-05-12 00:00:00",4.96,407820,40580,141462
"2012-05-13 00:00:00",4.96,406471,43262,141338
"2012-05-14 00:00:00",4.97,404934,38890,148191
"2012-05-15 00:00:00",5,396339,40956,155245
"2012-05-16 00:00:00",5.06,374060,34541,183085
"2012-05-17 00:00:00",5.07,373422,36569,182167
"2012-05-18 00:00:00",5.1,371651,35190,185717
"2012-05-19 00:00:00",5.11,371035,36421,184898
"2012-05-20 00:00:00",5.12,370746,27765,194474
"2012-05-21 00:00:00",5.1,371365,40706,181887
"2012-05-22 00:00:00",5.09,372966,41442,180269
"2012-05-23 00:00:00",5.12,370311,27707,196851
"2012-05-24 00:00:00",5.11,370703,35890,188926
"2012-05-25 00:00:00",5.13,370064,29375,196525
"2012-05-26 00:00:00",5.13,369968,30978,195780
"2012-05-27 00:00:00",5.13,369832,32372,194821
"2012-05-28 00:00:00",5.14,369649,27413,200792
"2012-05-29 00:00:00",5.09,381980,40725,175606
"2012-05-30 00:00:00",5.14,369523,29944,199561
"2012-05-31 00:00:00",5.16,369140,24522,207095
