"DateTime","Netflow","Price"
"2018-04-03 00:00:00",-1682.230779,7284.43
"2018-04-04 00:00:00",-144.607201,7084.76
"2018-04-05 00:00:00",1698.19,6768.02
"2018-04-06 00:00:00",7231.66,6698.1
"2018-04-07 00:00:00",10053.19,6854.16
"2018-04-08 00:00:00",4380.65,7021.53
"2018-04-09 00:00:00",-5738.290156,6918.99
"2018-04-10 00:00:00",9104.26,6799.78
"2018-04-11 00:00:00",22999.62,6919.27
"2018-04-12 00:00:00",9293.3,7421.64
"2018-04-13 00:00:00",20044.09,7997.98
"2018-04-14 00:00:00",363.08,8018.27
"2018-04-15 00:00:00",-685.42688,8229.04
"2018-04-16 00:00:00",8363.56,8180.09
"2018-04-17 00:00:00",12436.08,8022.86
"2018-04-18 00:00:00",15872.39,8077.75
"2018-04-19 00:00:00",49431.99,8228.72
"2018-04-20 00:00:00",16533.03,8594.31
"2018-04-21 00:00:00",21885.32,8839.5
"2018-04-22 00:00:00",17159.7,8916.21
"2018-04-23 00:00:00",16193.02,8914.97
"2018-04-24 00:00:00",40579.41,9349.8
"2018-04-25 00:00:00",52696.99,9261.15
"2018-04-26 00:00:00",27408.97,8992.25
"2018-04-27 00:00:00",16977.63,9154.67
"2018-04-28 00:00:00",-6512.334741,9164.21
"2018-04-29 00:00:00",3761.64,9370.87
"2018-04-30 00:00:00",457.51,9296.71
"2018-05-01 00:00:00",-500.185316,9051.38
"2018-05-02 00:00:00",-1314.518262,9132.72
"2018-05-03 00:00:00",1091.27,9494.74
"2018-05-04 00:00:00",841.57,9666.18
"2018-05-05 00:00:00",-2679.515593,9827.97
"2018-05-06 00:00:00",203.38,9689.45
"2018-05-07 00:00:00",3134.93,9432.18
"2018-05-08 00:00:00",-1036.149509,9267.58
"2018-05-09 00:00:00",-6445.059192,9180.37
"2018-05-10 00:00:00",-8693.516038,9205.54
"2018-05-11 00:00:00",-1711.928332,8697.89
"2018-05-12 00:00:00",3779.66,8439.88
"2018-05-13 00:00:00",578.4,8562.44
"2018-05-14 00:00:00",28329.4,8597.86
"2018-05-15 00:00:00",674.27,8644.97
"2018-05-16 00:00:00",14315.01,8310.41
"2018-05-17 00:00:00",31659.95,8246.11
"2018-05-18 00:00:00",41742.87,8110.4
"2018-05-19 00:00:00",-5619.994995,8279.04
"2018-05-20 00:00:00",-345.968394,8386.46
"2018-05-21 00:00:00",-273.43783,8466.87
"2018-05-22 00:00:00",3980.31,8195.52
"2018-05-23 00:00:00",359,7746.15
"2018-05-24 00:00:00",1338.39,7506.63
"2018-05-25 00:00:00",1295.51,7500.17
"2018-05-26 00:00:00",-764.866781,7470.7
"2018-05-27 00:00:00",-5967.832227,7338.37
"2018-05-28 00:00:00",15131.85,7274.23
"2018-05-29 00:00:00",-7451.056056,7301.02
"2018-05-30 00:00:00",-9445.450914,7433.43
"2018-05-31 00:00:00",-2519.405594,7479.2
"2018-06-01 00:00:00",43.08,7492.47
"2018-06-02 00:00:00",-2083.553224,7582.57
"2018-06-03 00:00:00",-4702.254761,7690.86
"2018-06-04 00:00:00",16750.55,7614.97
"2018-06-05 00:00:00",16347.21,7533.84
"2018-06-06 00:00:00",-2470.679098,7603.17
"2018-06-07 00:00:00",-339.950092,7703.53
"2018-06-08 00:00:00",-808.311597,7634.56
"2018-06-09 00:00:00",-1450.149563,7593.73
"2018-06-10 00:00:00",21628.5,7088.01
"2018-06-11 00:00:00",1598.99,6783.37
"2018-06-12 00:00:00",1489.81,6675.47
"2018-06-13 00:00:00",5882.25,6381.82
"2018-06-14 00:00:00",-1344.536388,6502.83
"2018-06-15 00:00:00",3959.45,6523.96
"2018-06-16 00:00:00",-883.148384,6457.57
"2018-06-17 00:00:00",1966.46,6516.08
"2018-06-18 00:00:00",8035.82,6601.72
"2018-06-19 00:00:00",3959.08,6755.9
"2018-06-20 00:00:00",-1088.3756,6693.93
"2018-06-21 00:00:00",918.04,6738.87
"2018-06-22 00:00:00",3189.59,6336.42
"2018-06-23 00:00:00",-380.959608,6145.54
