"DateTime","Price","Out","At","In"
"2020-01-09 00:00:00",7902.08,7874997,1268141,19481800
"2020-01-10 00:00:00",7937.31,8595855,1036601,18987060
"2020-01-11 00:00:00",8145.65,7072891,1510930,20088105
"2020-01-12 00:00:00",8076.77,7498050,1947902,19274138
"2020-01-13 00:00:00",8128.89,7055531,1814571,19890878
"2020-01-14 00:00:00",8490.24,4437083,2459690,21896231
"2020-01-15 00:00:00",8724.99,5837675,708923,22228637
"2020-01-16 00:00:00",8716.67,5947535,867772,21986003
"2020-01-17 00:00:00",8835.17,5988193,1111916,21735954
"2020-01-18 00:00:00",8890.96,5722136,721658,22412449
"2020-01-19 00:00:00",8842.77,5517094,897514,22489905
"2020-01-20 00:00:00",8629.44,6112590,1303901,21523057
"2020-01-21 00:00:00",8625.83,6384322,1329410,21226326
"2020-01-22 00:00:00",8688.08,5942455,1473438,21513850
"2020-01-23 00:00:00",8485.96,6286663,1488488,21140242
"2020-01-24 00:00:00",8371.67,7325347,1135416,20447000
"2020-01-25 00:00:00",8353.87,7340957,1265130,20309107
"2020-01-26 00:00:00",8453.95,7462877,1323556,20105516
"2020-01-27 00:00:00",8781.69,6198580,1360978,21365909
"2020-01-28 00:00:00",9149.99,5400382,803780,22709235
"2020-01-29 00:00:00",9331.72,4698962,834493,23366899
"2020-01-30 00:00:00",9371.49,4964451,1123957,22863820
"2020-01-31 00:00:00",9363.62,4609732,994483,23341724
"2020-02-01 00:00:00",9376.24,4704469,1234520,23019794
"2020-02-02 00:00:00",9319.53,4749638,1390903,22786365
"2020-02-03 00:00:00",9418.24,4618692,1405518,22919304
"2020-02-04 00:00:00",9218.32,4890892,1614762,22404868
"2020-02-05 00:00:00",9456.63,4458817,666156,23770158
"2020-02-06 00:00:00",9693.23,4413518,825439,23677143
"2020-02-07 00:00:00",9790.17,4237526,661185,24040159
"2020-02-08 00:00:00",9800.76,4219861,800170,23876838
"2020-02-09 00:00:00",10021.69,3947078,966800,24015117
"2020-02-10 00:00:00",9973.13,4376922,159004,24425757
"2020-02-11 00:00:00",10043.38,0,4287932,24711028
