"DateTime","Price","Out","At","In"
"2013-12-23 00:00:00",677.96,308986,193998,1389978
"2013-12-24 00:00:00",697.96,290473,220932,1390115
"2013-12-25 00:00:00",691.94,288951,229861,1387829
"2013-12-26 00:00:00",768.42,237292,178984,1496474
"2013-12-27 00:00:00",802.35,219260,166905,1535213
"2013-12-28 00:00:00",760.79,234827,225270,1459027
"2013-12-29 00:00:00",769.47,223872,213746,1473609
"2013-12-30 00:00:00",799.9,206794,212845,1503565
"2013-12-31 00:00:00",795.45,206522,221797,1498038
"2014-01-01 00:00:00",800.45,203731,231543,1496383
"2014-01-02 00:00:00",848.34,150534,210623,1574856
"2014-01-03 00:00:00",863.84,137678,228929,1574198
"2014-01-04 00:00:00",890.24,114558,191771,1640317
"2014-01-05 00:00:00",970.61,59715,171262,1719817
"2014-01-06 00:00:00",1029.09,55786,142502,1759153
"2014-01-07 00:00:00",961.92,80144,200977,1685527
"2014-01-08 00:00:00",912.9,136355,224696,1622806
"2014-01-09 00:00:00",915.6,133562,230330,1628125
"2014-01-10 00:00:00",935.36,120416,233389,1642704
"2014-01-11 00:00:00",972.92,78044,232752,1689127
"2014-01-12 00:00:00",972.37,77767,245182,1683046
"2014-01-13 00:00:00",914.59,125536,287201,1605773
"2014-01-14 00:00:00",923.33,122108,295145,1605691
"2014-01-15 00:00:00",944.08,101705,303676,1626869
"2014-01-16 00:00:00",933.02,111646,307864,1613577
"2014-01-17 00:00:00",898.49,211945,241264,1590522
"2014-01-18 00:00:00",904.74,189344,268679,1591673
"2014-01-19 00:00:00",929.98,148358,282176,1624605
"2014-01-20 00:00:00",953.25,107751,246379,1704821
"2014-01-21 00:00:00",958.71,105834,237039,1722172
"2014-01-22 00:00:00",954.45,105854,255588,1710578
"2014-01-23 00:00:00",947.17,113172,309281,1651386
"2014-01-24 00:00:00",926.21,141332,344460,1595803
"2014-01-25 00:00:00",947.14,112531,321639,1650765
"2014-01-26 00:00:00",994.36,72608,138150,1881189
"2014-01-27 00:00:00",979.34,91878,237182,1775724
"2014-01-28 00:00:00",942.13,153238,328706,1628120
"2014-01-29 00:00:00",934.71,174126,330935,1613451
"2014-01-30 00:00:00",931.35,173036,358434,1593399
"2014-01-31 00:00:00",939.65,143366,371610,1617500
"2014-02-01 00:00:00",948.5,120321,356993,1663082
"2014-02-02 00:00:00",946.9,136693,365652,1640552
"2014-02-03 00:00:00",945.63,133364,380969,1637171
"2014-02-04 00:00:00",924.93,226648,350835,1580329
"2014-02-05 00:00:00",914.9,334129,266230,1563232
"2014-02-06 00:00:00",854.85,590229,78396,1503425
"2014-02-07 00:00:00",742.4,699343,78688,1398794
"2014-02-08 00:00:00",675.67,761224,90995,1330733
"2014-02-09 00:00:00",658.33,774656,90658,1321886
"2014-02-10 00:00:00",600.04,839142,52085,1309029
"2014-02-11 00:00:00",579.97,823037,75371,1306965
"2014-02-12 00:00:00",548.51,803014,44980,1294271
"2014-02-13 00:00:00",500.27,806078,41119,1287691
"2014-02-14 00:00:00",401.11,824235,42524,1268083
"2014-02-15 00:00:00",379.01,835510,40978,1259995
"2014-02-16 00:00:00",380.2,818971,60310,1259591
"2014-02-17 00:00:00",337.29,844423,49711,1247446
"2014-02-18 00:00:00",309.22,860186,42167,1241898
"2014-02-19 00:00:00",282.94,865850,42780,1239458
"2014-02-20 00:00:00",190.42,911828,71160,1172185
"2014-02-21 00:00:00",125.91,1049757,205180,905441
"2014-02-22 00:00:00",193.65,860340,112101,1191164
"2014-02-23 00:00:00",284.73,789557,89439,1289553
"2014-02-24 00:00:00",224.37,842864,130791,1205267
"2014-02-25 00:00:00",138.48,963328,328431,893915
"2014-02-26 00:00:00",586.42,151799,751319,1287846
"2014-02-27 00:00:00",605.2,94790,805014,1299132
"2014-02-28 00:00:00",584.5,155432,759499,1273072
"2014-03-01 00:00:00",413.42,544764,479184,1167322
"2014-03-02 00:00:00",552.23,299456,650518,1244657
"2014-03-03 00:00:00",620.43,73262,856992,1279017
"2014-03-04 00:00:00",665.69,42000,893360,1281517
"2014-03-05 00:00:00",651.37,43021,900368,1276173
"2014-03-06 00:00:00",649.03,43144,908292,1273805
"2014-03-07 00:00:00",627.76,71533,889441,1270816
"2014-03-08 00:00:00",607.13,85128,900528,1256188
"2014-03-09 00:00:00",618.06,72480,915129,1265819
"2014-03-10 00:00:00",614.19,79386,912329,1262620
"2014-03-11 00:00:00",609.81,83910,909377,1259821
"2014-03-12 00:00:00",624.5,71161,921231,1260870
"2014-03-13 00:00:00",626.1,70839,929863,1259792
"2014-03-14 00:00:00",620.92,71028,912423,1255319
"2014-03-15 00:00:00",619.01,71134,913901,1253978
"2014-03-16 00:00:00",620.22,70942,918271,1255140
"2014-03-17 00:00:00",612.62,78217,927779,1251584
"2014-03-18 00:00:00",598.69,94652,928608,1241728
"2014-03-19 00:00:00",598.61,97777,939426,1240838
"2014-03-20 00:00:00",579.38,172743,870362,1237515
"2014-03-21 00:00:00",563.82,222285,832624,1225095
"2014-03-22 00:00:00",553.56,268895,783917,1221960
"2014-03-23 00:00:00",551.48,276668,780503,1221070
"2014-03-24 00:00:00",551.9,276060,784613,1227557
"2014-03-25 00:00:00",560.04,261257,803519,1228996
"2014-03-26 00:00:00",560.84,260414,810540,1228241
"2014-03-27 00:00:00",514.1,319264,776584,1208893
"2014-03-28 00:00:00",484.35,886089,97360,1328508
"2014-03-29 00:00:00",484.03,874822,116704,1327805
"2014-03-30 00:00:00",451.54,903195,116895,1310625
"2014-03-31 00:00:00",447.96,932930,86448,1315845
"2014-04-01 00:00:00",462.69,919567,97734,1324794
"2014-04-02 00:00:00",444.76,942142,88199,1317456
"2014-04-03 00:00:00",417.71,981253,51823,1300387
"2014-04-04 00:00:00",435.99,926920,80810,1329820
"2014-04-05 00:00:00",450.27,878158,106530,1353157
"2014-04-06 00:00:00",459.34,867318,117440,1366768
"2014-04-07 00:00:00",466.52,856689,96398,1401017
"2014-04-08 00:00:00",469.13,848881,111875,1398582
"2014-04-09 00:00:00",465.37,846030,140516,1374574
"2014-04-10 00:00:00",424.04,994158,77131,1294282
"2014-04-11 00:00:00",403.05,1035579,50695,1283419
"2014-04-12 00:00:00",448.92,852053,161153,1355916
"2014-04-13 00:00:00",432,929425,137045,1314871
"2014-04-14 00:00:00",458.96,820148,181846,1382416
"2014-04-15 00:00:00",496.53,750789,105598,1522448
"2014-04-16 00:00:00",522.56,728712,82096,1561456
"2014-04-17 00:00:00",511.96,731820,121965,1519242
"2014-04-18 00:00:00",492.08,759879,147840,1468648
"2014-04-19 00:00:00",495.03,752856,148370,1473792
"2014-04-20 00:00:00",505.46,728020,178465,1477753
"2014-04-21 00:00:00",507.67,724411,186401,1475198
"2014-04-22 00:00:00",501.95,725386,206498,1463071
"2014-04-23 00:00:00",496.11,739421,211557,1451894
"2014-04-24 00:00:00",492.28,738753,229777,1434914
"2014-04-25 00:00:00",470.41,856099,207593,1345235
"2014-04-26 00:00:00",458.63,906844,174049,1332211
"2014-04-27 00:00:00",449.4,926686,179801,1311526
"2014-04-28 00:00:00",435.95,991305,143524,1290244
"2014-04-29 00:00:00",442.25,942959,184703,1297426
"2014-04-30 00:00:00",441.77,932598,198459,1296088
"2014-05-01 00:00:00",454.5,863645,252944,1315961
"2014-05-02 00:00:00",452.69,862219,260481,1314707
"2014-05-03 00:00:00",441.65,917681,228146,1294524
"2014-05-04 00:00:00",437.7,939300,214989,1293215
"2014-05-05 00:00:00",435.12,962769,205083,1286164
"2014-05-06 00:00:00",427.59,998613,181553,1279751
"2014-05-07 00:00:00",441.17,900897,272390,1292097
"2014-05-08 00:00:00",447.5,865773,283923,1317144
"2014-05-09 00:00:00",447.14,868897,287131,1312851
"2014-05-10 00:00:00",450.45,850715,302746,1319827
"2014-05-11 00:00:00",442.21,898726,289121,1294834
"2014-05-12 00:00:00",435.63,965392,236999,1283713
"2014-05-13 00:00:00",437.51,944420,254447,1290196
"2014-05-14 00:00:00",439.08,923585,275853,1293468
"2014-05-15 00:00:00",445.75,884826,259867,1352897
"2014-05-16 00:00:00",448.51,872637,225001,1397602
"2014-05-17 00:00:00",454.09,830226,194233,1460827
"2014-05-18 00:00:00",451.52,829572,224896,1434060
"2014-05-19 00:00:00",446.45,854019,256677,1357351
"2014-05-20 00:00:00",461.74,780729,122504,1564508
"2014-05-21 00:00:00",488.47,698967,99973,1671884
"2014-05-22 00:00:00",502.4,662162,110011,1702582
"2014-05-23 00:00:00",528.03,635150,59086,1786309
"2014-05-24 00:00:00",518.54,639104,92764,1752730
"2014-05-25 00:00:00",547.86,588719,89447,1816835
"2014-05-26 00:00:00",575.53,548024,79709,1870807
"2014-05-27 00:00:00",570.75,558637,104129,1839733
"2014-05-28 00:00:00",572.18,557300,119976,1826980
"2014-05-29 00:00:00",565.77,572209,128163,1806989
"2014-05-30 00:00:00",588.64,524730,102254,1885375
"2014-05-31 00:00:00",616.89,452337,106093,1956363
"2014-06-01 00:00:00",648.47,414688,77927,2031254
"2014-06-02 00:00:00",644.05,415610,105402,2005713
"2014-06-03 00:00:00",653.94,406184,122196,2003071
"2014-06-04 00:00:00",635.94,448806,139463,1951059
"2014-06-05 00:00:00",650.49,406157,158660,1975524
"2014-06-06 00:00:00",655.48,404193,147287,1985430
"2014-06-07 00:00:00",650.4,405254,180532,1956448
"2014-06-08 00:00:00",653.78,403901,177008,1969152
"2014-06-09 00:00:00",645.6,411622,201803,1935391
"2014-06-10 00:00:00",651.56,403891,209228,1929685
"2014-06-11 00:00:00",652.66,403068,210732,1929891
"2014-06-12 00:00:00",617.46,592739,132151,1820060
"2014-06-13 00:00:00",607.01,603192,147238,1793705
"2014-06-14 00:00:00",588.72,693080,117953,1734824
"2014-06-15 00:00:00",574.34,711191,154345,1692381
"2014-06-16 00:00:00",593.3,640088,159792,1758331
"2014-06-17 00:00:00",601.65,586694,205475,1773537
"2014-06-18 00:00:00",609.01,551124,213810,1805103
