"DateTime","Bulls","Bears","Difference"
"2019-12-07 00:00:00",532822.83,-533399.4,-576.5700000000652
"2019-12-08 00:00:00",367742.07,-368663.42,-921.3499999999767
"2019-12-09 00:00:00",485070.21,-489708.06,-4637.849999999977
"2019-12-10 00:00:00",367515.46,-367175.57,339.89000000001397
"2019-12-11 00:00:00",528306.73,-527056.73,1250
"2019-12-12 00:00:00",194831.61,-189598.44,5233.169999999984
"2019-12-13 00:00:00",138919.35,-138014.73,904.6199999999953
"2019-12-14 00:00:00",325800.81,-326018.4,-217.5900000000256
"2019-12-15 00:00:00",239655.84,-240657.72,-1001.8800000000047
"2019-12-16 00:00:00",175604.4,-175578.89,25.50999999998021
"2019-12-17 00:00:00",999083.16,-1000959.88,-1876.719999999972
"2019-12-18 00:00:00",304094.42,-305731.04,-1636.6199999999953
"2019-12-19 00:00:00",233035.35,-234058.21,-1022.859999999986
"2019-12-20 00:00:00",210271.82,-211712.65,-1440.8299999999872
"2019-12-21 00:00:00",162006.86,-163474.97,-1468.1100000000151
"2019-12-22 00:00:00",275768.08,-275954.17,-186.0899999999674
"2019-12-23 00:00:00",249233.44,-251564.19,-2330.75
"2019-12-24 00:00:00",148629.57,-157225.59,-8596.01999999999
"2019-12-25 00:00:00",208162.08,-199395.93,8766.149999999994
"2019-12-26 00:00:00",149371.24,-136089.35,13281.889999999985
"2019-12-27 00:00:00",223991.78,-228491.32,-4499.540000000008
"2019-12-28 00:00:00",181494.13,-183810.45,-2316.320000000007
"2019-12-29 00:00:00",161799.95,-169690.56,-7890.609999999986
"2019-12-30 00:00:00",336822.62,-339909.82,-3087.2000000000116
"2019-12-31 00:00:00",159922.48,-154344.85,5577.630000000005
"2020-01-01 00:00:00",117064,-117244.73,-180.72999999999593
"2020-01-02 00:00:00",110207.58,-135651.14,-25443.560000000012
"2020-01-03 00:00:00",315035.68,-315654.64,-618.960000000021
"2020-01-04 00:00:00",126943.07,-130016.02,-3072.949999999997
"2020-01-05 00:00:00",155437.1,-156417.59,-980.4899999999907
"2020-01-06 00:00:00",430558.52,-442797.32,-12238.799999999988
"2020-01-07 00:00:00",142040.23,-159296.55,-17256.319999999978
"2020-01-08 00:00:00",207256.55,-215729.61,-8473.059999999998
"2020-01-09 00:00:00",534719.05,-540701.13,-5982.079999999958
"2020-01-10 00:00:00",90585.53,-92780.18,-2194.649999999994
"2020-01-11 00:00:00",104459.98,-104220.35,239.6299999999901
"2020-01-12 00:00:00",78704.09,-81373.39,-2669.300000000003
"2020-01-13 00:00:00",87883.03,-89515.24,-1632.2100000000064
"2020-01-14 00:00:00",339771.4,-339360.22,411.1800000000512
"2020-01-15 00:00:00",732471.29,-735040.56,-2569.2700000000186
"2020-01-16 00:00:00",225698.73,-234830.88,-9132.149999999994
"2020-01-17 00:00:00",468040.67,-471065.11,-3024.4400000000023
"2020-01-18 00:00:00",55961.38,-55897.52,63.86000000000058
"2020-01-19 00:00:00",182170.52,-177028.72,5141.799999999988
"2020-01-20 00:00:00",418729.08,-421178.72,-2449.6399999999558
"2020-01-21 00:00:00",52788.23,-61119.16,-8330.93
"2020-01-22 00:00:00",205823.51,-215378.9,-9555.389999999985
"2020-01-23 00:00:00",261746.07,-264358.37,-2612.2999999999884
"2020-01-24 00:00:00",64566,-63345.05,1220.949999999997
"2020-01-25 00:00:00",73100.36,-72768.02,332.3399999999965
"2020-01-26 00:00:00",147657.96,-151460.53,-3802.570000000007
"2020-01-27 00:00:00",841290.4,-841344.97,-54.56999999994878
"2020-01-28 00:00:00",273461.27,-284641.94,-11180.669999999984
"2020-01-29 00:00:00",165451.26,-166207.39,-756.1300000000047
"2020-01-30 00:00:00",668176.27,-670149.9,-1973.6300000000047
"2020-01-31 00:00:00",366599.98,-364982.15,1617.829999999958
"2020-02-01 00:00:00",255879.41,-256492.84,-613.429999999993
"2020-02-02 00:00:00",117621.39,-118208.87,-587.4799999999959
"2020-02-03 00:00:00",760850.78,-771582.39,-10731.609999999986
"2020-02-04 00:00:00",233415.22,-235594.46,-2179.2399999999907
"2020-02-05 00:00:00",182283.87,-183296.33,-1012.4599999999919
"2020-02-06 00:00:00",623361.46,-623656.87,-295.4100000000326
"2020-02-07 00:00:00",854771.98,-854396.82,375.1600000000326
"2020-02-08 00:00:00",115992.02,-158439.65,-42447.62999999999
"2020-02-09 00:00:00",61189.08,-54648.63,6540.450000000004
"2020-02-10 00:00:00",308061.78,-339029.75,-30967.969999999972
"2020-02-11 00:00:00",300522.98,-308479.28,-7956.300000000047
"2020-02-12 00:00:00",262908.71,-262854.98,53.73000000003958
"2020-02-13 00:00:00",230311.12,-243303,-12991.880000000005
"2020-02-14 00:00:00",245629.79,-245436.44,193.35000000000582
"2020-02-15 00:00:00",195044.98,-213609.48,-18564.5
"2020-02-16 00:00:00",440392.35,-442072.98,-1680.6300000000047
"2020-02-17 00:00:00",498627.28,-499226.06,-598.7799999999697
"2020-02-18 00:00:00",323399.19,-328293.4,-4894.210000000021
"2020-02-19 00:00:00",584543.54,-583663.46,880.0800000000745
"2020-02-20 00:00:00",235984.22,-237925.99,-1941.7699999999895
"2020-02-21 00:00:00",138640.44,-146838.04,-8197.600000000006
"2020-02-22 00:00:00",89660.82,-91094.09,-1433.2699999999895
"2020-02-23 00:00:00",65224.69,-65867.03,-642.3399999999965
"2020-02-24 00:00:00",118411.81,-119424.24,-1012.4300000000076
"2020-02-25 00:00:00",177488.45,-183619.72,-6131.2699999999895
"2020-02-26 00:00:00",132358.18,-130757.31,1600.8699999999953
"2020-02-27 00:00:00",194429.42,-195213.75,-784.3299999999872
"2020-02-28 00:00:00",243969.68,-244386.92,-417.2400000000198
"2020-02-29 00:00:00",122591.21,-123128.77,-537.5599999999977
"2020-03-01 00:00:00",118924.09,-125790,-6865.9100000000035
"2020-03-02 00:00:00",123250.52,-132607.7,-9357.180000000008
"2020-03-03 00:00:00",145778.35,-137870.7,7907.649999999994
"2020-03-04 00:00:00",279515.78,-293119.88,-13604.099999999977
"2020-03-05 00:00:00",129110.15,-131706.64,-2596.49000000002
"2020-03-06 00:00:00",111204.82,-111207.44,-2.6199999999953434
"2020-03-07 00:00:00",75950.06,-75695.55,254.50999999999476
"2020-03-08 00:00:00",120981.38,-119824.55,1156.8300000000017
"2020-03-09 00:00:00",212598.62,-212256.74,341.88000000000466
"2020-03-10 00:00:00",164660.17,-151854.36,12805.810000000027
"2020-03-11 00:00:00",745667.26,-747662.17,-1994.9100000000326
"2020-03-12 00:00:00",633964.57,-626024.5,7940.069999999949
"2020-03-13 00:00:00",568154.4,-559108.22,9046.180000000051
"2020-03-14 00:00:00",203094.53,-214977.59,-11883.059999999998
"2020-03-15 00:00:00",187494.37,-201425.94,-13931.570000000007
"2020-03-16 00:00:00",307095.9,-311395.88,-4299.979999999981
"2020-03-17 00:00:00",397685.95,-411271.43,-13585.479999999981
"2020-03-18 00:00:00",237575.48,-247621.13,-10045.649999999994
"2020-03-19 00:00:00",376879.84,-363544.18,13335.660000000033
"2020-03-20 00:00:00",297508.35,-288930.13,8578.219999999972
"2020-03-21 00:00:00",183167.76,-192590.41,-9422.649999999994
"2020-03-22 00:00:00",369825.1,-370273.34,-448.2400000000489
"2020-03-23 00:00:00",283710.18,-264472.7,19237.47999999998
"2020-03-24 00:00:00",551661.68,-529343.91,22317.77000000002
"2020-03-25 00:00:00",189564.22,-194303.55,-4739.329999999987
"2020-03-26 00:00:00",150687.82,-146598.38,4089.4400000000023
"2020-03-27 00:00:00",317179.44,-318480.61,-1301.1699999999837
"2020-03-28 00:00:00",191899.83,-195964.33,-4064.5
"2020-03-29 00:00:00",150216.54,-149703.22,513.320000000007
"2020-03-30 00:00:00",280816.8,-282503.43,-1686.6300000000047
"2020-03-31 00:00:00",320543.72,-320441.5,102.21999999997206
"2020-04-01 00:00:00",324827.63,-338704.48,-13876.849999999977
"2020-04-02 00:00:00",263054.29,-261519.94,1534.3499999999767
"2020-04-03 00:00:00",213723.29,-212939.74,783.5500000000175
"2020-04-04 00:00:00",81271.15,-81459.74,-188.59000000001106
"2020-04-05 00:00:00",110523.27,-105916.98,4606.290000000008
"2020-04-06 00:00:00",312126.35,-304227.56,7898.789999999979
"2020-04-07 00:00:00",417951.5,-405884.27,12067.229999999981
"2020-04-08 00:00:00",112323.01,-109790.22,2532.7899999999936
"2020-04-09 00:00:00",427781,-440641.59,-12860.590000000026
"2020-04-10 00:00:00",410812.12,-415323.73,-4511.609999999986
"2020-04-11 00:00:00",159957.19,-154162.27,5794.920000000013
"2020-04-12 00:00:00",106367.21,-108600.85,-2233.6399999999994
"2020-04-13 00:00:00",307101.92,-337437.91,-30335.98999999999
"2020-04-14 00:00:00",193381.71,-196077.86,-2696.149999999994
"2020-04-15 00:00:00",154608.15,-152808.01,1800.1399999999849
"2020-04-16 00:00:00",209505.4,-209782.21,-276.8099999999977
"2020-04-17 00:00:00",202910.87,-202564.08,346.79000000000815
"2020-04-18 00:00:00",155236.9,-149311.51,5925.389999999985
"2020-04-19 00:00:00",125119.35,-119862.4,5256.950000000012
"2020-04-20 00:00:00",172793.3,-172792.28,1.0199999999895226
"2020-04-21 00:00:00",131339.09,-133434.01,-2094.920000000013
"2020-04-22 00:00:00",154098.34,-163928.67,-9830.330000000016
"2020-04-23 00:00:00",137537.76,-146192.94,-8655.179999999993
"2020-04-24 00:00:00",405296.87,-408834.65,-3537.780000000028
"2020-04-25 00:00:00",144739.76,-137050.74,7689.020000000019
"2020-04-26 00:00:00",98295.59,-104806.99,-6511.400000000009
"2020-04-27 00:00:00",309382.54,-313126.73,-3744.1900000000023
"2020-04-28 00:00:00",170013.64,-182544.35,-12530.709999999992
"2020-04-29 00:00:00",810156.55,-833196.53,-23039.97999999998
"2020-04-30 00:00:00",934944.7,-910328.64,24616.05999999994
"2020-05-01 00:00:00",270750.02,-273429.53,-2679.5100000000093
"2020-05-02 00:00:00",60423.13,-66661.27,-6238.140000000007
"2020-05-03 00:00:00",223710.79,-226449.89,-2739.100000000006
"2020-05-04 00:00:00",170009.54,-171890.09,-1880.5499999999884
"2020-05-05 00:00:00",402206.18,-406438.78,-4232.600000000035
"2020-05-06 00:00:00",203072.93,-214154.49,-11081.559999999998
"2020-05-07 00:00:00",305521.85,-309822.19,-4300.340000000026
"2020-05-08 00:00:00",409264.05,-417423.29,-8159.239999999991
"2020-05-09 00:00:00",501594.38,-509097.94,-7503.559999999998
"2020-05-10 00:00:00",182118.1,-188843.96,-6725.859999999986
"2020-05-11 00:00:00",257411.15,-277202.46,-19791.310000000027
"2020-05-12 00:00:00",410288.92,-417685.9,-7396.98000000004
"2020-05-13 00:00:00",282692.25,-286970.12,-4277.869999999995
"2020-05-14 00:00:00",370380.83,-380543.33,-10162.5
"2020-05-15 00:00:00",245099.56,-249125.66,-4026.100000000006
"2020-05-16 00:00:00",125280.85,-130674.85,-5394
"2020-05-17 00:00:00",208289.64,-214938.21,-6648.569999999978
"2020-05-18 00:00:00",366391.35,-381695.14,-15303.790000000037
"2020-05-19 00:00:00",489252.52,-487134.67,2117.850000000035
"2020-05-20 00:00:00",436776.4,-436255.52,520.8800000000047
"2020-05-21 00:00:00",281078.37,-283089.18,-2010.8099999999977
"2020-05-22 00:00:00",325303.96,-299547.04,25756.920000000042
"2020-05-23 00:00:00",154215.68,-154207.2,8.479999999981374
"2020-05-24 00:00:00",250655.65,-246040.87,4614.779999999999
"2020-05-25 00:00:00",432451.67,-441079.52,-8627.850000000035
"2020-05-26 00:00:00",336371.19,-326961.65,9409.539999999979
"2020-05-27 00:00:00",529281.53,-515181.48,14100.050000000047
"2020-05-28 00:00:00",209413.09,-208378.8,1034.2900000000081
"2020-05-29 00:00:00",428916.48,-430374.87,-1458.390000000014
"2020-05-30 00:00:00",179491.05,-187612.99,-8121.940000000002
"2020-05-31 00:00:00",340445.94,-340416.1,29.84000000002561
"2020-06-01 00:00:00",558537.98,-542329.44,16208.540000000037
"2020-06-02 00:00:00",658371.25,-659169.29,-798.0400000000373
"2020-06-03 00:00:00",466205.53,-457471.19,8734.340000000026
"2020-06-04 00:00:00",480893.99,-497050.22,-16156.229999999981
"2020-06-05 00:00:00",348504.73,-352647.21,-4142.48000000004
"2020-06-06 00:00:00",105381.94,-106132.14,-750.1999999999971
"2020-06-07 00:00:00",102790.03,-104604.08,-1814.050000000003
"2020-06-08 00:00:00",322483.11,-344153,-21669.890000000014
"2020-06-09 00:00:00",271201.88,-278696.36,-7494.479999999981
"2020-06-10 00:00:00",576116.28,-563458.99,12657.290000000037
"2020-06-11 00:00:00",299242.64,-294482.86,4759.780000000028
"2020-06-12 00:00:00",207732.8,-210738.75,-3005.9500000000116
"2020-06-13 00:00:00",200877.76,-200389.15,488.61000000001513
"2020-06-14 00:00:00",172752.04,-172469.76,282.27999999999884
"2020-06-15 00:00:00",320562.88,-335711.55,-15148.669999999984
"2020-06-16 00:00:00",667501.52,-665971.49,1530.030000000028
"2020-06-17 00:00:00",294666.2,-283115.86,11550.340000000026
"2020-06-18 00:00:00",204725.02,-209423.12,-4698.100000000006
"2020-06-19 00:00:00",651051.03,-714302.18,-63251.15000000002
"2020-06-20 00:00:00",137212.37,-137601.04,-388.6700000000128
"2020-06-21 00:00:00",143846.37,-143919.18,-72.80999999999767
"2020-06-22 00:00:00",315473.71,-328590.97,-13117.259999999951
"2020-06-23 00:00:00",487042.46,-471135.23,15907.23000000004
"2020-06-24 00:00:00",553883.62,-570691.25,-16807.630000000005
"2020-06-25 00:00:00",303884.69,-305057.88,-1173.1900000000023
"2020-06-26 00:00:00",402313.55,-413835.44,-11521.890000000014
"2020-06-27 00:00:00",191471.62,-190270.95,1200.6699999999837
"2020-06-28 00:00:00",275876.37,-273608.56,2267.8099999999977
"2020-06-29 00:00:00",383120.97,-403048.93,-19927.96000000002
"2020-06-30 00:00:00",455367.65,-456832.34,-1464.6900000000023
"2020-07-01 00:00:00",334768.32,-322025.34,12742.979999999981
"2020-07-02 00:00:00",322804.86,-298705.08,24099.77999999997
"2020-07-03 00:00:00",307164.79,-296546.48,10618.309999999998
"2020-07-04 00:00:00",276591.75,-277441.37,-849.6199999999953
"2020-07-05 00:00:00",211908.84,-211848.4,60.44000000000233
"2020-07-06 00:00:00",449100.82,-477203.37,-28102.54999999999
"2020-07-07 00:00:00",290243.93,-278847.3,11396.630000000005
"2020-07-08 00:00:00",351283.02,-366997.26,-15714.23999999999
"2020-07-09 00:00:00",266490.84,-263219.48,3271.3600000000442
"2020-07-10 00:00:00",281195.88,-292270.1,-11074.219999999972
"2020-07-11 00:00:00",248143.91,-248004.08,139.8300000000163
"2020-07-12 00:00:00",294544.66,-303001.65,-8456.990000000049
"2020-07-13 00:00:00",240954.78,-227978.15,12976.630000000005
"2020-07-14 00:00:00",240328.09,-238589.74,1738.3500000000058
"2020-07-15 00:00:00",150473.75,-155034.81,-4561.059999999998
"2020-07-16 00:00:00",292940.08,-278066.38,14873.700000000012
"2020-07-17 00:00:00",180974.67,-180250.87,723.8000000000175
"2020-07-18 00:00:00",198051.67,-191659.8,6391.870000000024
"2020-07-19 00:00:00",257789.08,-250296.45,7492.629999999976
"2020-07-20 00:00:00",259895.46,-261203.73,-1308.2700000000186
"2020-07-21 00:00:00",174735.07,-189367.11,-14632.039999999979
"2020-07-22 00:00:00",195193.55,-193930.34,1263.2099999999919
"2020-07-23 00:00:00",270986.46,-259727.87,11258.590000000026
"2020-07-24 00:00:00",332150.72,-336895.28,-4744.560000000056
"2020-07-25 00:00:00",274169.47,-276862.63,-2693.1600000000326
"2020-07-26 00:00:00",253211.05,-251254.73,1956.3199999999779
"2020-07-27 00:00:00",327536.42,-325818.61,1717.8099999999977
"2020-07-28 00:00:00",365867.81,-371239.02,-5371.210000000021
"2020-07-29 00:00:00",346693.93,-356569.76,-9875.830000000016
"2020-07-30 00:00:00",244526.69,-243668.13,858.5599999999977
"2020-07-31 00:00:00",275272.08,-264818.68,10453.400000000023
"2020-08-01 00:00:00",247561.96,-247139.97,421.9899999999907
"2020-08-02 00:00:00",271185.61,-272196.33,-1010.7200000000303
"2020-08-03 00:00:00",394618.33,-399500.49,-4882.159999999974
"2020-08-04 00:00:00",295490.04,-285549.59,9940.449999999953
"2020-08-05 00:00:00",327024.89,-330327.38,-3302.4899999999907
"2020-08-06 00:00:00",395419.2,-398327.14,-2907.9400000000023
"2020-08-07 00:00:00",222931.01,-226930,-3998.9899999999907
"2020-08-08 00:00:00",283965.9,-287464.85,-3498.9499999999534
"2020-08-09 00:00:00",210108.55,-208967.38,1141.1699999999837
"2020-08-10 00:00:00",225640.42,-222116.75,3523.670000000013
"2020-08-11 00:00:00",203520.08,-204581.54,-1061.460000000021
"2020-08-12 00:00:00",150529.84,-160847.64,-10317.800000000017
"2020-08-13 00:00:00",157962.41,-157855.92,106.48999999999069
"2020-08-14 00:00:00",541361.69,-538636.36,2725.329999999958
"2020-08-15 00:00:00",773892.38,-772352.91,1539.469999999972
"2020-08-16 00:00:00",1223392.81,-1220377,3015.810000000056
"2020-08-17 00:00:00",2030873.01,-2030773.71,99.30000000004657
"2020-08-18 00:00:00",1220098.01,-1217107.33,2990.679999999935
"2020-08-19 00:00:00",1085395.45,-1104733.47,-19338.02000000002
"2020-08-20 00:00:00",1057678.62,-1057958.4,-279.7799999997951
"2020-08-21 00:00:00",782511.51,-784097.54,-1586.030000000028
"2020-08-22 00:00:00",852096.93,-851742.52,354.4100000000326
"2020-08-23 00:00:00",977250.25,-976810.32,439.9300000000512
"2020-08-24 00:00:00",1175439.1,-1175484.48,-45.37999999988824
"2020-08-25 00:00:00",882133.21,-881267.61,865.5999999999767
"2020-08-26 00:00:00",1210468.74,-1208926.42,1542.3200000000652
"2020-08-27 00:00:00",1233251.19,-1231918.16,1333.030000000028
"2020-08-28 00:00:00",1391482.89,-1391061.67,421.21999999997206
"2020-08-29 00:00:00",1172123.66,-1172016.65,107.01000000000931
"2020-08-30 00:00:00",1243784.82,-1243289.48,495.3400000000838
"2020-08-31 00:00:00",1800998.69,-1800160.27,838.4199999999255
"2020-09-01 00:00:00",1832966.41,-1832417.74,548.6699999999255
"2020-09-02 00:00:00",1400864.06,-1399671.62,1192.4399999999441
"2020-09-03 00:00:00",1848265.41,-1823776.48,24488.929999999935
"2020-09-04 00:00:00",1592934.76,-1594720.99,-1786.2299999999814
"2020-09-05 00:00:00",1772527.18,-1773195,-667.8200000000652
"2020-09-06 00:00:00",1806660.99,-1806079.94,581.0500000000466
"2020-09-07 00:00:00",2196577.83,-2196314.53,263.3000000002794
"2020-09-08 00:00:00",1931280.83,-1930707.79,573.0400000000373
"2020-09-09 00:00:00",2444772,-2442885.32,1886.6800000001676
"2020-09-10 00:00:00",2783204.25,-2783871.6,-667.3500000000931
"2020-09-11 00:00:00",2337239.38,-2338683.09,-1443.7099999999627
"2020-09-12 00:00:00",2072518.52,-2071080.59,1437.9299999999348
"2020-09-13 00:00:00",2145807.83,-2143795.12,2012.7099999999627
"2020-09-14 00:00:00",2008849.92,-2011594.18,-2744.2600000000093
"2020-09-15 00:00:00",2046756.5,-2046796.71,-40.20999999996275
"2020-09-16 00:00:00",2286219.64,-2286216.54,3.1000000000931323
"2020-09-17 00:00:00",3425198.56,-3425450.57,-252.00999999977648
"2020-09-18 00:00:00",2995017.42,-2996824.4,-1806.9799999999814
"2020-09-19 00:00:00",2328890.06,-2328844.42,45.640000000130385
"2020-09-20 00:00:00",1894137.82,-1892727.81,1410.0100000000093
"2020-09-21 00:00:00",2731442.14,-2731708.51,-266.3699999996461
"2020-09-22 00:00:00",1943407.01,-1942962.15,444.86000000010245
"2020-09-23 00:00:00",1777148.95,-1776609.52,539.4299999999348
"2020-09-24 00:00:00",1435361.1,-1435805.25,-444.14999999990687
"2020-09-25 00:00:00",1991274.25,-1990810.5,463.75
"2020-09-26 00:00:00",1910301.21,-1910032.86,268.3499999998603
"2020-09-27 00:00:00",1594010.41,-1594210.94,-200.53000000002794
"2020-09-28 00:00:00",1602136.91,-1601695.99,440.9199999999255
"2020-09-29 00:00:00",1706660.11,-1707070.55,-410.4399999999441
"2020-09-30 00:00:00",1544502.74,-1543807.11,695.6299999998882
"2020-10-01 00:00:00",1178944.5,-1178539.5,405
"2020-10-02 00:00:00",1695679.41,-1694832.23,847.1799999999348
"2020-10-03 00:00:00",1643343.02,-1642520.68,822.3400000000838
"2020-10-04 00:00:00",1448120.92,-1447093.17,1027.75
"2020-10-05 00:00:00",1360071.69,-1361877.29,-1805.6000000000931
"2020-10-06 00:00:00",1463823.95,-1463595.59,228.35999999986961
"2020-10-07 00:00:00",1304630.5,-1304401.09,229.40999999991618
"2020-10-08 00:00:00",1251807.62,-1251544.77,262.85000000009313
"2020-10-09 00:00:00",1918519.41,-1918143.61,375.79999999981374
"2020-10-10 00:00:00",1239522.74,-1239654.82,-132.0800000000745
"2020-10-11 00:00:00",1623331.88,-1623803.44,-471.5600000000559
"2020-10-12 00:00:00",1446255.98,-1446012.9,243.0800000000745
"2020-10-13 00:00:00",1553505.12,-1553591.39,-86.2699999997858
"2020-10-14 00:00:00",1721373.49,-1720907.26,466.2299999999814
"2020-10-15 00:00:00",1843629.54,-1843161.78,467.7600000000093
"2020-10-16 00:00:00",1615606.18,-1615656.2,-50.02000000001863
"2020-10-17 00:00:00",1999435.74,-1999490.3,-54.56000000005588
"2020-10-18 00:00:00",1738529.03,-1738797,-267.96999999997206
"2020-10-19 00:00:00",2546089.8,-2591848.2,-45758.40000000037
"2020-10-20 00:00:00",3403555.58,-3404462.13,-906.5499999998137
"2020-10-21 00:00:00",2901799.52,-2903998.8,-2199.279999999795
"2020-10-22 00:00:00",3028360.73,-3028779.04,-418.3100000000559
"2020-10-23 00:00:00",1814243.11,-1814966.29,-723.1799999999348
"2020-10-24 00:00:00",1382892.14,-1387906.82,-5014.680000000168
"2020-10-25 00:00:00",1154714.29,-1155851.73,-1137.4399999999441
"2020-10-26 00:00:00",2127918.51,-2130125.31,-2206.8000000002794
"2020-10-27 00:00:00",1684022.85,-1684403.65,-380.79999999981374
"2020-10-28 00:00:00",1777973.42,-1777659.6,313.81999999983236
"2020-10-29 00:00:00",1608493.27,-1609362.26,-868.9899999999907
"2020-10-30 00:00:00",1602338.48,-1602756.91,-418.4299999999348
"2020-10-31 00:00:00",1071686.44,-1072247.23,-560.7900000000373
"2020-11-01 00:00:00",1573494.4,-1573499.14,-4.739999999990687
"2020-11-02 00:00:00",1787542.68,-1821791.9,-34249.21999999997
"2020-11-03 00:00:00",2190918.55,-2241904.57,-50986.02000000002
"2020-11-04 00:00:00",1263967.21,-1266292.15,-2324.939999999944
"2020-11-05 00:00:00",2102636.55,-2099844.38,2792.1699999999255
"2020-11-06 00:00:00",2127599.88,-2132847.81,-5247.930000000168
"2020-11-07 00:00:00",1033138.64,-1033440.53,-301.89000000001397
"2020-11-08 00:00:00",979057.9,-982661.84,-3603.939999999944
"2020-11-09 00:00:00",1298883.55,-1299831.27,-947.7199999999721
"2020-11-10 00:00:00",1372701.49,-1399966.95,-27265.459999999963
"2020-11-11 00:00:00",1318435.01,-1318121.72,313.29000000003725
"2020-11-12 00:00:00",1168934.54,-1169333.88,-399.339999999851
"2020-11-13 00:00:00",862439.27,-860921.38,1517.890000000014
"2020-11-14 00:00:00",1435509.94,-1435683.17,-173.22999999998137
"2020-11-15 00:00:00",1162357.53,-1162686.15,-328.6199999998789
"2020-11-16 00:00:00",2911885.22,-2912394.61,-509.3899999996647
"2020-11-17 00:00:00",2203696.99,-2206885.49,-3188.5
"2020-11-18 00:00:00",1963096.12,-1964339.36,-1243.2399999999907
"2020-11-19 00:00:00",1652921.72,-1653677.78,-756.0600000000559
"2020-11-20 00:00:00",1537921.02,-1536952.73,968.2900000000373
"2020-11-21 00:00:00",1332518.77,-1332080.77,438
"2020-11-22 00:00:00",1441966.69,-1442024.17,-57.47999999998137
"2020-11-23 00:00:00",1546308.82,-1546981.2,-672.3799999998882
