"DateTime","Price","Losses","Break Even","Profit"
"2019-12-25 00:00:00",7206.41,10398741,1451679,16526533
"2019-12-26 00:00:00",7304.83,10413392,1556319,16419648
"2019-12-27 00:00:00",7164.54,10378871,1644592,16387490
"2019-12-28 00:00:00",7310.85,10240523,1646146,16541106
"2019-12-29 00:00:00",7417.99,10051211,1545098,16880434
"2019-12-30 00:00:00",7319.43,9686905,1630316,17185870
"2019-12-31 00:00:00",7233.59,10354377,1746280,16421267
"2020-01-01 00:00:00",7219.49,10679372,1498436,16341028
"2020-01-02 00:00:00",7085.34,10490785,1690364,16357663
"2020-01-03 00:00:00",7144.87,10239833,1934545,16350485
"2020-01-04 00:00:00",7342.18,9911734,1613508,16996137
"2020-01-05 00:00:00",7415.75,9476384,1549419,17527790
"2020-01-06 00:00:00",7577.37,5965205,3596044,19027269
"2020-01-07 00:00:00",7977.6,8419691,677538,19487918
"2020-01-08 00:00:00",8166.31,7054397,881859,20671955
"2020-01-09 00:00:00",7902.08,7963336,1155509,19506093
"2020-01-10 00:00:00",7937.31,8634696,931029,19053791
"2020-01-11 00:00:00",8145.65,7240746,1382040,20049140
"2020-01-12 00:00:00",8076.77,7642468,1738931,19338691
"2020-01-13 00:00:00",8128.89,7228688,1633843,19898449
"2020-01-14 00:00:00",8490.24,5941301,1138811,21712892
"2020-01-15 00:00:00",8724.99,6075889,674697,22024649
"2020-01-16 00:00:00",8716.67,6182404,792534,21826372
"2020-01-17 00:00:00",8835.17,6224636,1002737,21608690
"2020-01-18 00:00:00",8890.96,5970144,656541,22229558
"2020-01-19 00:00:00",8842.77,5776710,811907,22315896
"2020-01-20 00:00:00",8629.44,6336828,1164779,21437941
"2020-01-21 00:00:00",8625.83,6577993,1187494,21174571
"2020-01-22 00:00:00",8688.08,6188271,1303802,21437670
"2020-01-23 00:00:00",8485.96,6498656,1317165,21099572
"2020-01-24 00:00:00",8371.67,7425131,1023622,20459010
"2020-01-25 00:00:00",8353.87,7448895,1133919,20332380
"2020-01-26 00:00:00",8453.95,7564223,1178982,20148744
"2020-01-27 00:00:00",8781.69,6426495,1223922,21275050
"2020-01-28 00:00:00",9149.99,5673841,757965,22481591
"2020-01-29 00:00:00",9331.72,5006451,789073,23104830
"2020-01-30 00:00:00",9371.49,5255413,1032176,22664639
"2020-01-31 00:00:00",9363.62,4920683,903395,23121861
"2020-02-01 00:00:00",9376.24,5012522,1118019,22828242
"2020-02-02 00:00:00",9319.53,5056787,1252644,22617475
"2020-02-03 00:00:00",9418.24,4935458,1258681,22749375
"2020-02-04 00:00:00",9218.32,5187111,1453975,22269436
"2020-02-05 00:00:00",9456.63,1730701,3673453,23490977
"2020-02-06 00:00:00",9693.23,4734083,750100,23431917
"2020-02-07 00:00:00",9790.17,4564734,608913,23765223
"2020-02-08 00:00:00",9800.76,4547080,721241,23628548
"2020-02-09 00:00:00",10021.69,4296459,868100,23764436
"2020-02-10 00:00:00",9973.13,4671542,1880626,22409515
"2020-02-11 00:00:00",10043.38,1727715,2877822,24393423
"2020-02-12 00:00:00",10362.99,3505020,787085,24704077
"2020-02-13 00:00:00",10290.78,3440251,782311,24810073
"2020-02-14 00:00:00",10245.52,3638047,1052118,24345355
"2020-02-15 00:00:00",10089.24,4663887,1986028,22427821
"2020-02-16 00:00:00",9838.5,4836029,973270,23301103
"2020-02-17 00:00:00",9720.58,5846889,863953,22418986
"2020-02-18 00:00:00",9946.56,1637812,3609128,23896787
"2020-02-19 00:00:00",9820.11,5018610,1718080,22407489
"2020-02-20 00:00:00",9550.7,5730817,773481,22654536
"2020-02-21 00:00:00",9674.12,5623225,939409,22595042
"2020-02-22 00:00:00",9649.03,5187399,1269898,22718123
"2020-02-23 00:00:00",9840.64,5169462,1368750,22697782
"2020-02-24 00:00:00",9757.53,5747026,1092634,22433529
"2020-02-25 00:00:00",9470.22,5386515,1312157,22583175
"2020-02-26 00:00:00",9016.02,7793531,3441199,18097302
"2020-02-27 00:00:00",8759.79,8113123,851371,20392526
"2020-02-28 00:00:00",8678.96,7679300,1052484,20653829
"2020-02-29 00:00:00",8680.47,7832882,1156870,20404808
"2020-03-01 00:00:00",8610.14,8263049,1214139,19959506
"2020-03-02 00:00:00",8752.79,6809609,1462037,21208109
"2020-03-03 00:00:00",8810.63,7414272,1026090,21047312
"2020-03-04 00:00:00",8777.37,7595799,1488459,20399188
"2020-03-05 00:00:00",8976.29,7446946,1400947,20657348
"2020-03-06 00:00:00",9099.31,6897747,916476,21723283
"2020-03-07 00:00:00",9052.88,6670417,940780,21948762
"2020-03-08 00:00:00",8476.67,9000082,2462181,18146501
"2020-03-09 00:00:00",7932.58,11335246,169774,18144497
"2020-03-10 00:00:00",7961.61,10405130,1293600,17968606
"2020-03-11 00:00:00",7806.64,10388770,1362879,17923266
"2020-03-12 00:00:00",6360.19,11812952,4353769,13531779
"2020-03-13 00:00:00",4966.74,17048294,327808,12340664
"2020-03-14 00:00:00",5367.43,15967578,784485,12999579
"2020-03-15 00:00:00",5537.92,15972144,218196,13517641
"2020-03-16 00:00:00",4909.58,16963544,3747291,8969252
"2020-03-17 00:00:00",5256.17,16102551,1056020,12558837
"2020-03-18 00:00:00",5237.87,15624362,1241370,12871058
"2020-03-19 00:00:00",5843.66,14574180,964619,14258927
"2020-03-20 00:00:00",6311.87,13566811,2102917,14179588
"2020-03-21 00:00:00",6168.22,13685967,2158051,14079449
"2020-03-22 00:00:00",6082.91,13518614,2335873,14085157
"2020-03-23 00:00:00",6159.1,15090616,1289650,13594690
"2020-03-24 00:00:00",6632.07,12774243,2642638,14602945
"2020-03-25 00:00:00",6731.65,12458525,2729824,14853194
"2020-03-26 00:00:00",6667.87,12284845,2948987,14890146
"2020-03-27 00:00:00",6594.75,11911259,2997586,15112165
"2020-03-28 00:00:00",6217.9,12998101,2862923,14073033
"2020-03-29 00:00:00",6084.58,13200548,2862369,13920419
"2020-03-30 00:00:00",6245.87,14766133,1764977,13492851
"2020-03-31 00:00:00",6441.14,12715799,3184680,14108791
"2020-04-01 00:00:00",6442.02,12723414,3200450,14045127
"2020-04-02 00:00:00",6915.45,12038036,3329200,14572539
"2020-04-03 00:00:00",6831.42,11667549,3434150,14847863
"2020-04-04 00:00:00",6840.75,11677814,3511404,14782657
"2020-04-05 00:00:00",6799.73,11234367,3541688,15224840
"2020-04-06 00:00:00",7069.48,11310693,3723842,15019330
"2020-04-07 00:00:00",7273.52,9941041,2865917,17268952
"2020-04-08 00:00:00",7291.91,10250578,3239006,16485428
"2020-04-09 00:00:00",7249.45,9921735,3184507,16880023
"2020-04-10 00:00:00",7031.24,9972704,3387787,16667703
"2020-04-11 00:00:00",6870.9,11166975,3455463,15439539
"2020-04-12 00:00:00",7001.07,11919257,2226064,15957894
"2020-04-13 00:00:00",6763.05,12247420,2472688,15407510
"2020-04-14 00:00:00",6880.36,11930325,2364481,15828544
"2020-04-15 00:00:00",6776.14,12011641,2150863,15955586
"2020-04-16 00:00:00",6847.09,10459856,2586011,16999609
"2020-04-17 00:00:00",7080.48,10759793,2419889,16896285
"2020-04-18 00:00:00",7166.39,11080097,2111631,16876350
"2020-04-19 00:00:00",7174.59,10473299,1935100,17592603
"2020-04-20 00:00:00",6997.65,10667739,2040181,17278203
"2020-04-21 00:00:00",6864.15,12100760,1804949,16101265
"2020-04-22 00:00:00",6998.44,12120897,1902359,16025462
"2020-04-23 00:00:00",7386.38,10477023,198132,19461303
"2020-04-24 00:00:00",7507.82,9736988,1419459,19000089
"2020-04-25 00:00:00",7577.19,9751636,1699646,18747174
"2020-04-26 00:00:00",7601.59,9615528,1481139,19108469
"2020-04-27 00:00:00",7715.16,9303804,1078252,19857821
"2020-04-28 00:00:00",7731.56,9239714,1252576,19782141
"2020-04-29 00:00:00",8342.73,6706042,2459617,21093857
"2020-04-30 00:00:00",8938.71,6373265,1161045,22816312
"2020-05-01 00:00:00",8848.93,6494529,1584398,22350998
"2020-05-02 00:00:00",8891.05,6248804,1653366,22579234
"2020-05-03 00:00:00",8966.63,5777092,1572267,23007076
"2020-05-04 00:00:00",8753.2,6109228,1762357,22400330
"2020-05-05 00:00:00",8950.36,6085815,1873961,22358091
"2020-05-06 00:00:00",9166.53,5834186,1946428,22518142
"2020-05-07 00:00:00",9553.42,2926631,2533771,24839688
"2020-05-08 00:00:00",9885.19,3743765,1175792,25389015
"2020-05-09 00:00:00",9718.99,4085660,1578210,24688404
"2020-05-10 00:00:00",8892.54,6536362,2029316,21803740
"2020-05-11 00:00:00",8696.71,6792973,2057883,21480343
"2020-05-12 00:00:00",8758.85,7449859,1864016,20981451
"2020-05-13 00:00:00",9107.62,6438126,2300059,21591187
"2020-05-14 00:00:00",9600.63,4417552,1594355,24379482
"2020-05-15 00:00:00",9495.42,4001962,1807747,24602118
"2020-05-16 00:00:00",9404.61,5137539,2111237,23223436
"2020-05-17 00:00:00",9609.89,4969965,2190368,23296701
"2020-05-18 00:00:00",9710.06,4101225,2002290,24324058
"2020-05-19 00:00:00",9681.33,4234626,2341475,23788640
"2020-05-20 00:00:00",9578.38,4010632,2248079,24084628
"2020-05-21 00:00:00",9189.17,7009152,516349,22838495
"2020-05-22 00:00:00",9100.93,6622855,2163272,21570573
"2020-05-23 00:00:00",9206.21,5934305,2169051,22309985
"2020-05-24 00:00:00",9007.13,6027659,2270516,22094037
"2020-05-25 00:00:00",8808.45,7523883,2083479,20671811
"2020-05-26 00:00:00",8858.6,6815788,2434490,21005659
"2020-05-27 00:00:00",9021.42,6892382,2435892,20940678
"2020-05-28 00:00:00",9365.82,5648293,2379313,22204012
"2020-05-29 00:00:00",9473.12,4397565,2039760,23827478
"2020-05-30 00:00:00",9538.09,5053434,2109289,23118291
"2020-05-31 00:00:00",9551.88,4236295,1904603,24053826
"2020-06-01 00:00:00",9890.31,2851284,1920887,25344445
"2020-06-02 00:00:00",9788.39,4290017,3207283,22630902
"2020-06-03 00:00:00",9537.4,4732308,2218155,23228641
"2020-06-04 00:00:00",9674.4,4286333,2479061,23412019
"2020-06-05 00:00:00",9728.87,3953344,2311104,23912161
"2020-06-06 00:00:00",9632.28,4457812,2517676,23203946
"2020-06-07 00:00:00",9608.27,4271281,2497851,23425506
"2020-06-08 00:00:00",9729.96,4055782,2443773,23714808
"2020-06-09 00:00:00",9744.48,4051272,1705787,24387612
"2020-06-10 00:00:00",9849.52,4145880,2009316,23975325
"2020-06-11 00:00:00",9532.1,5652095,2073279,22431786
"2020-06-12 00:00:00",9393.19,6812574,1233196,22080391
"2020-06-13 00:00:00",9427.95,5696388,1754634,22693043
"2020-06-14 00:00:00",9365.29,5538054,1915651,22660966
"2020-06-15 00:00:00",9204.1,6374862,1476429,22300815
"2020-06-16 00:00:00",9484.25,5723210,1662543,22805302
"2020-06-17 00:00:00",9396.56,5243267,2157814,22802641
"2020-06-18 00:00:00",9378.11,5482961,2119951,22653099
"2020-06-19 00:00:00",9329.79,5955697,2040402,22271359
"2020-06-20 00:00:00",9286.57,6398736,1781322,22109684
"2020-06-21 00:00:00",9350.38,6029146,1836832,22455993
"2020-06-22 00:00:00",9529.03,2947865,3371664,23986716
"2020-06-23 00:00:00",9650.29,4361299,1628032,24377315
"2020-06-24 00:00:00",9435.22,6607868,1305420,22437943
"2020-06-25 00:00:00",9168.09,6582255,1844248,21909463
"2020-06-26 00:00:00",9165.37,6987937,1656795,21729439
"2020-06-27 00:00:00",9028.81,7551056,1303028,21506606
"2020-06-28 00:00:00",9067.9,8284185,1068818,21022184
"2020-06-29 00:00:00",9130.38,7424835,1563511,21431039
"2020-06-30 00:00:00",9134.88,7059078,1597538,21733725
"2020-07-01 00:00:00",9198.5,7259836,1686197,21445942
"2020-07-02 00:00:00",9111.26,6617389,1842540,21941094
"2020-07-03 00:00:00",9087.22,7228924,1854301,21326931
"2020-07-04 00:00:00",9124.15,7467334,1720586,21231110
"2020-07-05 00:00:00",9044.39,7027440,1937662,21449563
"2020-07-06 00:00:00",9219.87,2943018,4209175,23228719
"2020-07-07 00:00:00",9293.5,5907563,1114180,23348344
"2020-07-08 00:00:00",9354.28,6363176,1971638,22089274
"2020-07-09 00:00:00",9306.52,5454978,1816978,23166701
"2020-07-10 00:00:00",9223.01,6714502,1967889,21745808
"2020-07-11 00:00:00",9245.17,6145014,1924415,22359583
"2020-07-12 00:00:00",9254.56,6439084,1888549,22079840
"2020-07-13 00:00:00",9268.8,6093732,2002628,22327318
"2020-07-14 00:00:00",9194.64,6646570,2025606,21794567
"2020-07-15 00:00:00",9216.73,6276373,2259088,22013084
"2020-07-16 00:00:00",9122.85,6926948,2104057,21556212
"2020-07-17 00:00:00",9131.85,7355342,2001430,21304657
"2020-07-18 00:00:00",9165.93,7183231,2174845,21395954
"2020-07-19 00:00:00",9175.86,6894985,2466718,21434684
"2020-07-20 00:00:00",9180.83,6644120,2422288,21669123
"2020-07-21 00:00:00",9298.9,2940814,4010955,23805755
"2020-07-22 00:00:00",9420.86,5763363,1311590,23755058
"2020-07-23 00:00:00",9566.88,5054667,808830,25045402
"2020-07-24 00:00:00",9562.51,4837878,1100483,25021849
"2020-07-25 00:00:00",9640.74,3002983,2071102,25893146
"2020-07-26 00:00:00",9899.81,2981164,1568787,26366752
"2020-07-27 00:00:00",10666.5,2975486,161803,27666227
"2020-07-28 00:00:00",10922.19,2752119,230902,27848357
