"DateTime","Price",">5y","3y-5y","2y-3y","18m-24m","12m-18m","6m-12m","3m-6m","1m-3m","1w-1m","1d-1w","<1d"
"2009-03-09 00:00:00",,0,0,0,0,0,0,0,167499.95999999996,137650.03999999998,34800,5400
"2009-03-10 00:00:00",,0,0,0,0,0,0,0,174699.96000000002,135550.04,35100,5350
"2009-03-11 00:00:00",,0,0,0,0,0,0,0,183399.96000000002,132850.03999999998,34450,5700
"2009-03-12 00:00:00",,0,0,0,0,0,0,0,189299.96,132800.03999999998,34150,6050
"2009-03-13 00:00:00",,0,0,0,0,0,0,0,196150,131500,33900,6400
"2009-03-14 00:00:00",,0,0,0,0,0,0,0,201850,130950,35150,5500
"2009-03-15 00:00:00",,0,0,0,0,0,0,0,207700.00000000003,131900,33850,6150
"2009-03-16 00:00:00",,0,0,0,0,0,0,0,214049.99999999997,129150,34000,8450
"2009-03-17 00:00:00",,0,0,0,0,0,0,0,220599.99999999997,127500,37550,5700
"2009-03-18 00:00:00",,0,0,0,0,0,0,0,227800.00000000003,125650,37200,6400
"2009-03-19 00:00:00",,0,0,0,0,0,0,0,233300.00000000003,125750,38000,6100
"2009-03-20 00:00:00",,0,0,0,0,0,0,0,239000,126250,37300,6500
"2009-03-21 00:00:00",,0,0,0,0,0,0,0,245600,125150,38300,2500
"2009-03-22 00:00:00",,0,0,0,0,0,0,0,251350.00000000003,125200,34450,6500
"2009-03-23 00:00:00",,0,0,0,0,0,0,0,256800,128000,32700,6500
"2009-03-24 00:00:00",,0,0,0,0,0,0,0,262800,127350,33850,5250
"2009-03-25 00:00:00",,0,0,0,0,0,0,0,267750,128550,32950,5850
"2009-03-26 00:00:00",,0,0,0,0,0,0,0,272900,129100,31700,7250
"2009-03-27 00:00:00",,0,0,0,0,0,0,0,277900,130300,32750,5300
"2009-03-28 00:00:00",,0,0,0,0,0,0,0,283050,127200,35000,6950
"2009-03-29 00:00:00",,0,0,0,0,0,0,0,290250,125900,36050,5800
"2009-03-30 00:00:00",,0,0,0,0,0,0,0,295450,126950,35600,6000
"2009-03-31 00:00:00",,0,0,0,0,0,0,0,300200,127100,35100,7100
"2009-04-01 00:00:00",,0,0,0,0,0,0,0,305150,127650,36700,5700
"2009-04-02 00:00:00",,0,0,0,0,0,0,0,310250,129500,35450,5750
"2009-04-03 00:00:00",,0,0,0,0,0,0,50,316150,128350,36400,5800
"2009-04-04 00:00:00",,0,0,0,0,0,0,50,321650.00000000006,129500,35550,5650
"2009-04-05 00:00:00",,0,0,0,0,0,0,50,326750.00000000006,129900,34850,7350
"2009-04-06 00:00:00",,0,0,0,0,0,0,50,331600,130500,36750,5450
"2009-04-07 00:00:00",,0,0,0,0,0,0,50,338150,131050,35100,5000
"2009-04-08 00:00:00",,0,0,0,0,0,0,50,342950.00000000006,131750,34600,5250
"2009-04-09 00:00:00",,0,0,0,0,0,0,700,347200,132550,34150,4950
"2009-04-10 00:00:00",,0,0,0,0,0,0,3750,349500.0000000001,132750,33550,5400
"2009-04-11 00:00:00",,0,0,0,0,0,0,8400,350450.00000000006,132700,33050,6350
"2009-04-12 00:00:00",,0,0,0,0,0,0,13139,351911,133600,31650,6550
"2009-04-13 00:00:00",,0,0,0,0,0,0,18939,351611,133500,32750,5800
"2009-04-14 00:00:00",,0,0,0,0,0,0,24650,351900.00000000006,132400,33650,6200
"2009-04-15 00:00:00",,0,0,0,0,0,0,30925,353875,129350,34650,5650
"2009-04-16 00:00:00",,0,0,0,0,0,0,36175,353975,128800,35500,6150
"2009-04-17 00:00:00",,0,0,0,0,0,0,40925,355325.00000000006,128050,36300,5600
"2009-04-18 00:00:00",,0,0,0,0,0,0,45975,355925,128350,35800,6450
"2009-04-19 00:00:00",,0,0,0,0,0,0,52000,356100,128400,35600,6350
"2009-04-20 00:00:00",,0,0,0,0,0,0,57600,351650,127900,35550,11700
"2009-04-21 00:00:00",,0,0,0,0,0,0,62450,352700.00000000006,127800,41400,6200
"2009-04-22 00:00:00",,0,0,0,0,0,0,67150,354250,127100,42050.00000000001,6050
"2009-04-23 00:00:00",,0,0,0,0,0,0,71500,354850,128100,42150,3750
"2009-04-24 00:00:00",,0,0,0,0,0,0,81500,350200,128350,40300,5750
"2009-04-25 00:00:00",,0,0,0,0,0,0,90600,348050,127700,39750,5900
"2009-04-26 00:00:00",,0,0,0,0,0,0,95950,347450,129150.00000000001,38700,6350
"2009-04-27 00:00:00",,0,0,0,0,0,0,100700,349150.00000000006,134350,33400,5200
"2009-04-28 00:00:00",,0,0,0,0,0,0,106000,349300,135050,32450,5850
"2009-04-29 00:00:00",,0,0,0,0,0,0,112450,348100,135250,31850,7400
"2009-04-30 00:00:00",,0,0,0,0,0,0,117900,349400,132050,35700,6550
"2009-05-01 00:00:00",,0,0,0,0,0,0,124250,348400,132250,36700,6050
"2009-05-02 00:00:00",,0,0,0,0,0,0,129800,348200,132100,36850,7000
"2009-05-03 00:00:00",,0,0,0,0,0,0,135750,347550,133050,37550,5350
"2009-05-04 00:00:00",,0,0,0,0,0,0,142749.95999999996,345750.04000000004,133000,36250,7900
"2009-05-05 00:00:00",,0,0,0,0,0,0,148399.96,346850.04,131800,38100,7250
"2009-05-06 00:00:00",,0,0,0,0,0,0,154499.96000000002,345850.04,133700,38350,6750
"2009-05-07 00:00:00",,0,0,0,0,0,0,160449.96,344650.04000000004,135100,38950,6100
"2009-05-08 00:00:00",,0,0,0,0,0,0,167499.96000000002,342550.04000000004,135800,39400,5350
"2009-05-09 00:00:00",,0,0,0,0,0,0,174699.96000000002,339900.04,137899.99999999997,38100,3900
"2009-05-10 00:00:00",,0,0,0,0,0,0,183399.96000000002,336300.04000000004,137900,36900,4250
"2009-05-11 00:00:00",,0,0,0,0,0,0,189299.96000000002,336000.04,139850,33500,6100
"2009-05-12 00:00:00",,0,0,0,0,0,0,196149.99999999997,335400,140850,32350,6500
"2009-05-13 00:00:00",,0,0,0,0,0,0,201849.99999999997,335300,142000,32000,5650
"2009-05-14 00:00:00",,0,0,0,0,0,0,207700.00000000003,335250,142300,31400,7100
"2009-05-15 00:00:00",,0,0,0,0,0,0,214050.00000000003,334400,141700,33150,7250
"2009-05-16 00:00:00",,0,0,0,0,0,0,220600,333800,139500,36650,5950
"2009-05-17 00:00:00",,0,0,0,0,0,0,227800,332199.99999999994,138050,38450.00000000001,6350
"2009-05-18 00:00:00",,0,0,0,0,0,0,233300.00000000006,332949.99999999994,137900,38700,5900
"2009-05-19 00:00:00",,0,0,0,0,0,0,239000,333550,138100,38100,4300
"2009-05-20 00:00:00",,0,0,0,0,0,0,245599.99999999997,338550,132100,36800,6000
"2009-05-21 00:00:00",,0,0,0,0,0,0,251350,338650.00000000006,133300.00000000003,35750,4100
"2009-05-22 00:00:00",,0,0,0,0,0,0,256800,338800,134950,32600,3050
"2009-05-23 00:00:00",,0,0,0,0,0,0,262800,336300,137400,29700,1600
"2009-05-24 00:00:00",,0,0,0,0,0,0,267700,336850,138300,24950,5000
"2009-05-25 00:00:00",,0,0,0,0,0,0,272850,337250,138650,24050,5450
"2009-05-26 00:00:00",,0,0,0,0,0,0,277850,338500,136699.99999999997,25200,6250
"2009-05-27 00:00:00",,0,0,0,0,0,0,283000,338500,137549.99999999997,25450,5950
